"sp","lon","lat"
"Acianthera_sonderiana",-49.519503,-25.598863
"Acianthera_sonderiana",-49.249458,-25.397537
"Acianthera_sonderiana",-50.1444,-26.3703
"Acianthera_sonderiana",-49.122083,-25.379722
"Acianthera_sonderiana",-49.3317,-24.1125
"Acianthera_sonderiana",-41.3664,-21.0642
"Acianthera_sonderiana",-49.81,-26.11
"Acianthera_sonderiana",-45.4528,-22.4256
"Acianthera_sonderiana",-40.6592,-20.3633
"Acianthera_sonderiana",-51.416667,-25.521863
"Acianthera_sonderiana",-51.08,-26.24
"Acianthera_sonderiana",-48.933333,-25.333333
