"sp","lon","lat"
"Aechmea_distichantha",-49.5283,-25.4586
"Aechmea_distichantha",-45.155,-23.3558333
"Aechmea_distichantha",-54.425,-25.625
"Aechmea_distichantha",-46.7,-23.65
"Aechmea_distichantha",-47.147222,-24.431944
"Aechmea_distichantha",-46.93333,-23.23694
"Aechmea_distichantha",-51.916667,-23.416667
"Aechmea_distichantha",-44.5778,-22.645
"Aechmea_distichantha",-46.6361,-23.5475
"Aechmea_distichantha",-51.126667,-23.121667
"Aechmea_distichantha",-49.993611,-25.24
"Aechmea_distichantha",-43.1786,-22.505
"Aechmea_distichantha",-49.1439,-24.3176
"Aechmea_distichantha",-45.42388889,-23.62555556
"Aechmea_distichantha",-50.2428,-24.2458
"Aechmea_distichantha",-46.616592,-23.639894
"Aechmea_distichantha",-50.8589,-25.0108
"Aechmea_distichantha",-44.2667,-15.4
"Aechmea_distichantha",-46.8217,-22.4361
"Aechmea_distichantha",-49.419007,-25.835085
"Aechmea_distichantha",-45.6738889,-20.3572222
"Aechmea_distichantha",-49.260727,-25.489984
"Aechmea_distichantha",-44.833056,-23.361389
"Aechmea_distichantha",-53.991776,-26.519551
"Aechmea_distichantha",-49.115,-25.2061
"Aechmea_distichantha",-48.988824,-25.718658
"Aechmea_distichantha",-53.2506,-27.1936
"Aechmea_distichantha",-49.012214,-25.528984
"Aechmea_distichantha",-53.7583,-27.3711
"Aechmea_distichantha",-48.5428,-25.8175
"Aechmea_distichantha",-47.7666667,-24.6377778
"Aechmea_distichantha",-50.431523,-25.907756
"Aechmea_distichantha",-49.808853,-25.553261
"Aechmea_distichantha",-53.0275,-24.1847
"Aechmea_distichantha",-44.59139,-21.30556
"Aechmea_distichantha",-44.95583333,-23.07416667
"Aechmea_distichantha",-46.7266,-23.5806
"Aechmea_distichantha",-49.0769,-25.3656
"Aechmea_distichantha",-44.2617,-21.1356
"Aechmea_distichantha",-47.55611111,-22.70972222
"Aechmea_distichantha",-49.1989,-25.9281
"Aechmea_distichantha",-50.4136,-24.5094
"Aechmea_distichantha",-47.916667,-24.166667
"Aechmea_distichantha",-39.091111,-14.777222
"Aechmea_distichantha",-44.7328,-22.142
"Aechmea_distichantha",-49.519503,-25.598863
"Aechmea_distichantha",-49.219497,-25.435923
"Aechmea_distichantha",-46.9983,-24.32
"Aechmea_distichantha",-46.633333,-23.420833
"Aechmea_distichantha",-45.4425,-22.655278
"Aechmea_distichantha",-49.343008,-25.428106
"Aechmea_distichantha",-46.4,-21.93333
"Aechmea_distichantha",-50.283333,-24.533333
"Aechmea_distichantha",-50.1444,-26.3703
"Aechmea_distichantha",-50.5803,-23.9108
"Aechmea_distichantha",-44.73767,-22.35813
"Aechmea_distichantha",-45.4097,-23.76
"Aechmea_distichantha",-54.031545,-25.523795
"Aechmea_distichantha",-45.0833333,-23.4
"Aechmea_distichantha",-44.3181,-23.0067
"Aechmea_distichantha",-49.277089,-25.661593
"Aechmea_distichantha",-51.6847,-24.2478
"Aechmea_distichantha",-44.56667,-22.25
"Aechmea_distichantha",-44.4467,-22.4689
"Aechmea_distichantha",-45.4644,-22.6914
"Aechmea_distichantha",-49.229167,-27.721111
"Aechmea_distichantha",-49.26539,-25.38622
