"sp","lon","lat"
"Aechmea_nudicaulis",-49.118056,-27.006944
"Aechmea_nudicaulis",-46.9983,-24.32
"Aechmea_nudicaulis",-41.1128,-20.8489
"Aechmea_nudicaulis",-46.3719445,-23.9769445
"Aechmea_nudicaulis",-46.7889,-24.1831
"Aechmea_nudicaulis",-46.7286,-23.5656
"Aechmea_nudicaulis",-43.8467,-19.9856
"Aechmea_nudicaulis",-48.599444,-27.904722
"Aechmea_nudicaulis",-48.978333,-25.950556
"Aechmea_nudicaulis",-47.633333,-24.7
"Aechmea_nudicaulis",-40.676944,-20.096389
"Aechmea_nudicaulis",-41.100556,-20.519167
"Aechmea_nudicaulis",-43.9333,-21.85
"Aechmea_nudicaulis",-40.522222,-20.242222
"Aechmea_nudicaulis",-40.368889,-18.448056
"Aechmea_nudicaulis",-44.2,-19.97
"Aechmea_nudicaulis",-42.7375,-22.40805556
"Aechmea_nudicaulis",-48.956667,-25.890278
"Aechmea_nudicaulis",-48.7,-25.5166667
"Aechmea_nudicaulis",-45.65,-23.75
"Aechmea_nudicaulis",-47.957222,-24.069917
"Aechmea_nudicaulis",-49.403889,-24.202222
"Aechmea_nudicaulis",-41.7869,-22.3708
"Aechmea_nudicaulis",-48.29722222,-25.17833333
"Aechmea_nudicaulis",-42.466667,-19.766667
"Aechmea_nudicaulis",-49.844411,-29.489711
"Aechmea_nudicaulis",-41.696667,-22.299167
"Aechmea_nudicaulis",-49.58861,-28.755
"Aechmea_nudicaulis",-41.0167,-21.6167
"Aechmea_nudicaulis",-49.083333,-27.048333
"Aechmea_nudicaulis",-40.05444,-16.40639
"Aechmea_nudicaulis",-49.431188,-28.691224
"Aechmea_nudicaulis",-39.565278,-15.391667
"Aechmea_nudicaulis",-47.108333,-24.428333
"Aechmea_nudicaulis",-40.069308,-19.18495
"Aechmea_nudicaulis",-42.6238889,-19.7802778
"Aechmea_nudicaulis",-48.166389,-24.934722
"Aechmea_nudicaulis",-48.517,-27.138
"Aechmea_nudicaulis",-39.06,-14.7889
"Aechmea_nudicaulis",-35.6917,-6.96333
"Aechmea_nudicaulis",-40.2511,-20.1551
"Aechmea_nudicaulis",-37.3682639,-10.7544167
"Aechmea_nudicaulis",-35.55138889,-8.278333333
"Aechmea_nudicaulis",-48.600791,-26.176814
"Aechmea_nudicaulis",-40.485556,-12.313056
"Aechmea_nudicaulis",-49.4636,-24.1128
"Aechmea_nudicaulis",-46.1447,-22.7553
"Aechmea_nudicaulis",-48.35888889,-24.21
"Aechmea_nudicaulis",-44.833056,-23.361389
"Aechmea_nudicaulis",-39.882694,-19.118083
"Aechmea_nudicaulis",-43.1253,-21.4575
"Aechmea_nudicaulis",-47.285297,-23.825694
"Aechmea_nudicaulis",-42.8644444,-22.49194444
"Aechmea_nudicaulis",-44.2833333,-23.1666667
"Aechmea_nudicaulis",-47.8825,-24.608333
"Aechmea_nudicaulis",-44.7131,-23.2178
"Aechmea_nudicaulis",-48.800209,-25.378213
"Aechmea_nudicaulis",-49.047789,-26.192511
"Aechmea_nudicaulis",-48.761964,-27.878889
"Aechmea_nudicaulis",-46.31666667,-23.78333333
"Aechmea_nudicaulis",-44.848773,-23.360234
"Aechmea_nudicaulis",-49.6792,-28.9261
"Aechmea_nudicaulis",-49.81,-29.2233
"Aechmea_nudicaulis",-43.346944,-23.003611
"Aechmea_nudicaulis",-40.431389,-20.622778
"Aechmea_nudicaulis",-49.757112,-29.35781
"Aechmea_nudicaulis",-42.6658,-20.4558
"Aechmea_nudicaulis",-45.4425,-22.655278
"Aechmea_nudicaulis",-47.858333,-24.879444
"Aechmea_nudicaulis",-48.296759,-25.548026
"Aechmea_nudicaulis",-42.25,-22.5
"Aechmea_nudicaulis",-49.71,-24.25
"Aechmea_nudicaulis",-49.73,-29.34
"Aechmea_nudicaulis",-43.669722,-19.88
"Aechmea_nudicaulis",-43.9669445,-23.0636111
"Aechmea_nudicaulis",-46.416667,-23.883333
"Aechmea_nudicaulis",-48.316041,-25.521936
"Aechmea_nudicaulis",-49.452439,-28.536677
"Aechmea_nudicaulis",-43.01059,-21.8666
"Aechmea_nudicaulis",-35.49472222,-7.488888889
"Aechmea_nudicaulis",-43.529167,-23.048056
"Aechmea_nudicaulis",-39.6,-16.99
"Aechmea_nudicaulis",-43.0522,-22.5544
"Aechmea_nudicaulis",-37.333333,-10.75
"Aechmea_nudicaulis",-48.869722,-27.005556
"Aechmea_nudicaulis",-43.7931,-21.8425
"Aechmea_nudicaulis",-40.530278,-19.971389
"Aechmea_nudicaulis",-49.64,-27.21
"Aechmea_nudicaulis",-40.4059,-20.2447
"Aechmea_nudicaulis",-40.553056,-19.9075
