"sp","lon","lat"
"Aechmea_nudicaulis",-45.59611111,-22.74277778
"Aechmea_nudicaulis",-40.59805556,-19.93666667
"Aechmea_nudicaulis",-42.8186,-22.9194
"Aechmea_nudicaulis",-42.466667,-19.766667
"Aechmea_nudicaulis",-42.7375,-22.40805556
"Aechmea_nudicaulis",-39.6,-14.7
"Aechmea_nudicaulis",-43.669722,-19.88
"Aechmea_nudicaulis",-43.01059,-21.8666
"Aechmea_nudicaulis",-48.5747,-25.8828
"Aechmea_nudicaulis",-49.846111,-29.393611
"Aechmea_nudicaulis",-40.553056,-19.9075
"Aechmea_nudicaulis",-49.083333,-27.048333
"Aechmea_nudicaulis",-49.58861,-28.755
"Aechmea_nudicaulis",-46.7889,-24.1831
"Aechmea_nudicaulis",-48.599444,-27.904722
"Aechmea_nudicaulis",-46.616592,-23.639894
"Aechmea_nudicaulis",-42.8819,-20.7539
"Aechmea_nudicaulis",-43.8628,-22.0129
"Aechmea_nudicaulis",-39.25,-17.5
"Aechmea_nudicaulis",-43.2333333,-22.4
"Aechmea_nudicaulis",-47.858333,-24.879444
"Aechmea_nudicaulis",-41.075,-20.5194445
"Aechmea_nudicaulis",-45.4097,-23.76
"Aechmea_nudicaulis",-45.9364,-22.23
"Aechmea_nudicaulis",-46.1386,-23.8544
"Aechmea_nudicaulis",-44.6031,-21.9756
"Aechmea_nudicaulis",-48.8344,-25.4769
"Aechmea_nudicaulis",-43.688635,-22.764908
"Aechmea_nudicaulis",-42.447294,-22.927622
"Aechmea_nudicaulis",-43.704397,-22.58579
"Aechmea_nudicaulis",-45.3581,-23.7781
"Aechmea_nudicaulis",-39.92,-19.62
"Aechmea_nudicaulis",-39.693056,-19.287778
"Aechmea_nudicaulis",-48.7,-25.5166667
"Aechmea_nudicaulis",-47.633333,-24.7
"Aechmea_nudicaulis",-40.581667,-19.950278
"Aechmea_nudicaulis",-48.961944,-26.28
"Aechmea_nudicaulis",-47.55611111,-23.43361111
"Aechmea_nudicaulis",-49.3317,-24.1125
"Aechmea_nudicaulis",-43.26667,-22.55
"Aechmea_nudicaulis",-48.35888889,-24.21
"Aechmea_nudicaulis",-48.29722222,-25.17833333
"Aechmea_nudicaulis",-48.6847,-26.6322
"Aechmea_nudicaulis",-39.320108,-15.320108
"Aechmea_nudicaulis",-41.6797,-21.1339
"Aechmea_nudicaulis",-41.544167,-20.938611
"Aechmea_nudicaulis",-41.7869,-22.3708
"Aechmea_nudicaulis",-46.7286,-23.5656
"Aechmea_nudicaulis",-43.346944,-23.003611
"Aechmea_nudicaulis",-49.844411,-29.489711
"Aechmea_nudicaulis",-48.956667,-25.890278
"Aechmea_nudicaulis",-48.416667,-23.45
"Aechmea_nudicaulis",-39.40806,-15.20278
"Aechmea_nudicaulis",-41.1128,-20.8489
"Aechmea_nudicaulis",-35.48333333,-7.501666667
"Aechmea_nudicaulis",-45.65,-23.75
"Aechmea_nudicaulis",-44.6,-22.45
"Aechmea_nudicaulis",-49.757112,-29.35781
"Aechmea_nudicaulis",-44.833056,-23.361389
"Aechmea_nudicaulis",-49.403889,-24.202222
"Aechmea_nudicaulis",-43.8467,-19.9856
"Aechmea_nudicaulis",-45.42388889,-23.62555556
"Aechmea_nudicaulis",-35.55138889,-8.278333333
"Aechmea_nudicaulis",-39.6,-16.99
"Aechmea_nudicaulis",-41.3244,-21.7542
"Aechmea_nudicaulis",-44.2617,-21.1356
"Aechmea_nudicaulis",-41.0333,-21.7
"Aechmea_nudicaulis",-48.563333,-26.349722
"Aechmea_nudicaulis",-41.945,-22.5269
"Aechmea_nudicaulis",-39.53,-14.76
"Aechmea_nudicaulis",-42.6531,-22.4625
"Aechmea_nudicaulis",-49.6792,-28.9261
"Aechmea_nudicaulis",-39.2997,-14.9594
"Aechmea_nudicaulis",-47.108333,-24.428333
"Aechmea_nudicaulis",-46.9983,-24.32
"Aechmea_nudicaulis",-42.8644444,-22.49194444
"Aechmea_nudicaulis",-48.517,-27.138
"Aechmea_nudicaulis",-49.431188,-28.691224
"Aechmea_nudicaulis",-41.666944,-20.541667
"Aechmea_nudicaulis",-39.7925,-19.579167
