"sp","lon","lat"
"Billbergia_amoena",-43.6233,-22.2069
"Billbergia_amoena",-43.4153,-19.9594
"Billbergia_amoena",-42.5311,-22.2819
"Billbergia_amoena",-47.46,-24.28
"Billbergia_amoena",-43.74278,-17.81083
"Billbergia_amoena",-39.716667,-13.6
"Billbergia_amoena",-42.8186,-22.9194
"Billbergia_amoena",-43.7144,-19.1689
"Billbergia_amoena",-43.3414,-21.1942
"Billbergia_amoena",-48.3297223,-25.3066667
"Billbergia_amoena",-48.5747,-25.8828
"Billbergia_amoena",-43.2333333,-22.4
"Billbergia_amoena",-43.0111111,-22.4897222
"Billbergia_amoena",-48.6114,-27.0903
"Billbergia_amoena",-40.43,-20.095556
"Billbergia_amoena",-48.9911,-24.6572
"Billbergia_amoena",-47.929167,-25.077222
"Billbergia_amoena",-41.9928,-22.5894
"Billbergia_amoena",-41.0069,-20.6714
"Billbergia_amoena",-43.9378,-19.9208
"Billbergia_amoena",-40.446389,-18.782778
"Billbergia_amoena",-48.66,-26.91
