"sp","lon","lat"
"Billbergia_amoena",-48.6114,-27.0903
"Billbergia_amoena",-40.0703,-15.1169
"Billbergia_amoena",-49.3317,-24.1125
"Billbergia_amoena",-47.936111,-24.168333
"Billbergia_amoena",-41.87361,-21.84944
"Billbergia_amoena",-40.063611,-19.1375
"Billbergia_amoena",-47.8811,-24.715
"Billbergia_amoena",-46.7928,-23.4378
"Billbergia_amoena",-42.2042,-22.4806
"Billbergia_amoena",-43.1036,-22.8833
"Billbergia_amoena",-40.2812,-20.166
"Billbergia_amoena",-39.528889,-15.158611
"Billbergia_amoena",-48.35888889,-24.21
"Billbergia_amoena",-48.7789,-22.1931
"Billbergia_amoena",-43.47528,-18.43278
"Billbergia_amoena",-40.8116667,-20.9711111
"Billbergia_amoena",-49.083333,-27.048333
"Billbergia_amoena",-44.3181,-23.0067
"Billbergia_amoena",-46.31667,-23.78333
"Billbergia_amoena",-49.585,-26.7275
"Billbergia_amoena",-48.5092,-25.52
"Billbergia_amoena",-40.307401,-20.181181
"Billbergia_amoena",-44.177778,-21.110278
"Billbergia_amoena",-39.2803,-14.7856
"Billbergia_amoena",-43.544444,-19.281389
"Billbergia_amoena",-46.9983,-24.32
"Billbergia_amoena",-40.3933,-20.2148
"Billbergia_amoena",-45.3333,-23.3333
"Billbergia_amoena",-42.8186,-22.9194
"Billbergia_amoena",-41.7869,-22.3708
"Billbergia_amoena",-43.3067,-18.4658
"Billbergia_amoena",-48.8344,-25.4769
"Billbergia_amoena",-47.922478,-23.181914
"Billbergia_amoena",-42.7411111,-18.1119444
"Billbergia_amoena",-40.801667,-18.952778
"Billbergia_amoena",-49.14,-27.09
"Billbergia_amoena",-49.2611,-24.8236
"Billbergia_amoena",-48.29724,-25.179626
"Billbergia_amoena",-48.5111,-25.6736
"Billbergia_amoena",-49.5,-26.82
"Billbergia_amoena",-47.985,-24.0575
"Billbergia_amoena",-49.2064,-25.5347
"Billbergia_amoena",-39.4953,-15.1914
"Billbergia_amoena",-49.1989,-25.9281
"Billbergia_amoena",-48.5747,-25.8828
"Billbergia_amoena",-40.531667,-20.114722
"Billbergia_amoena",-44.0833333,-22.9833333
"Billbergia_amoena",-48.8425,-24.5094
"Billbergia_amoena",-42.0186,-22.8794
"Billbergia_amoena",-43.7144,-19.1689
"Billbergia_amoena",-49.3142,-25.19
"Billbergia_amoena",-40.739444,-19.760833
"Billbergia_amoena",-43.3414,-21.1942
"Billbergia_amoena",-48.4786,-27.584
"Billbergia_amoena",-44.7131,-23.2178
"Billbergia_amoena",-49.0553,-25.3056
"Billbergia_amoena",-42.166667,-22.833333
"Billbergia_amoena",-45.866667,-23.633333
"Billbergia_amoena",-48.9725,-25.866389
"Billbergia_amoena",-39.716667,-13.6
"Billbergia_amoena",-42.5311,-22.2819
"Billbergia_amoena",-43.8278,-22.0892
"Billbergia_amoena",-49.012167,-25.392
"Billbergia_amoena",-46.3336,-23.9608
"Billbergia_amoena",-42.45,-22.35
"Billbergia_amoena",-48.762222,-24.882222
"Billbergia_amoena",-43.0539,-22.8269
"Billbergia_amoena",-48.447222,-24.274167
"Billbergia_amoena",-48.5047,-24.7564
"Billbergia_amoena",-41.4538889,-21.7944444
"Billbergia_amoena",-46.1386,-23.8544
"Billbergia_amoena",-41.0994444,-21.5769445
"Billbergia_amoena",-46.941333,-23.824667
"Billbergia_amoena",-43.9378,-19.9208
"Billbergia_amoena",-48.800209,-25.378213
"Billbergia_amoena",-44.359056,-22.792278
"Billbergia_amoena",-49.4197,-24.5681
"Billbergia_amoena",-41.079722,-20.076667
"Billbergia_amoena",-47.33333333,-24.36666667
"Billbergia_amoena",-40.1827,-20.0743
"Billbergia_amoena",-43.2333333,-22.4
"Billbergia_amoena",-43.5041667,-23.0394444
"Billbergia_amoena",-47.243815,-24.548145
"Billbergia_amoena",-48.083333,-24.233333
"Billbergia_amoena",-47.46,-24.28
"Billbergia_amoena",-43.669722,-19.88
"Billbergia_amoena",-48.6381,-26.2433
"Billbergia_amoena",-43.6233,-22.2069
"Billbergia_amoena",-48.7401,-25.4311
"Billbergia_amoena",-41.0069,-20.6714
"Billbergia_amoena",-46.7431,-23.9853
"Billbergia_amoena",-43.4511,-22.7592
"Billbergia_amoena",-42.446222,-22.927467
"Billbergia_amoena",-48.9911,-24.6572
"Billbergia_amoena",-41.7361111,-20.445
"Billbergia_amoena",-42.7375,-22.40805556
"Billbergia_amoena",-41.8817,-22.7469
"Billbergia_amoena",-46.1883,-23.5228
"Billbergia_amoena",-41.8544444,-20.4233334
"Billbergia_amoena",-49.64,-27.21
"Billbergia_amoena",-48.92,-27.1
"Billbergia_amoena",-41.9072222,-22.4908333
"Billbergia_amoena",-43.6003,-18.2494
"Billbergia_amoena",-47.994167,-24.141667
"Billbergia_amoena",-40.98972,-21.21444
"Billbergia_amoena",-43.74278,-17.81083
"Billbergia_amoena",-49.154444,-26.3
"Billbergia_amoena",-40.43,-20.095556
"Billbergia_amoena",-39.06,-14.7889
"Billbergia_amoena",-40.1063889,-16.1205556
"Billbergia_amoena",-42.2938889,-22.9363889
"Billbergia_amoena",-43.0111111,-22.4897222
"Billbergia_amoena",-43.529167,-23.048056
"Billbergia_amoena",-43.4161,-20.3778
"Billbergia_amoena",-48.5428,-25.8175
"Billbergia_amoena",-43.4814,-20.3039
"Billbergia_amoena",-40.288139,-20.288139
"Billbergia_amoena",-42.0278,-22.9661
"Billbergia_amoena",-41.133333,-20.3
"Billbergia_amoena",-44.5666667,-22.25
"Billbergia_amoena",-43.4153,-19.9594
"Billbergia_amoena",-43.4075,-20.0747
"Billbergia_amoena",-48.3297223,-25.3066667
"Billbergia_amoena",-42.0228,-20.9047
"Billbergia_amoena",-48.66,-26.91
"Billbergia_amoena",-45.8464,-23.5322
"Billbergia_amoena",-40.530278,-19.971389
"Billbergia_amoena",-49.115,-25.2061
"Billbergia_amoena",-40.49,-20.086
"Billbergia_amoena",-40.59805556,-19.93666667
"Billbergia_amoena",-47.929167,-25.077222
"Billbergia_amoena",-40.446389,-18.782778
"Billbergia_amoena",-46.634444,-23.446111
"Billbergia_amoena",-41.9928,-22.5894
