"sp","lon","lat"
"Billbergia_distachia",-46.6361,-23.5475
"Billbergia_distachia",-43.5448,-21.4155
"Billbergia_distachia",-45.4975,-23.71333
"Billbergia_distachia",-49.2064,-25.5347
"Billbergia_distachia",-48.8911111,-27.4758333
"Billbergia_distachia",-48.988824,-25.718658
"Billbergia_distachia",-48.6556,-27.4942
"Billbergia_distachia",-49.06,-25.31
"Billbergia_distachia",-45.6738889,-20.3572222
"Billbergia_distachia",-44.675,-22.5017
"Billbergia_distachia",-48.12,-22.28
"Billbergia_distachia",-48.430003,-27.479167
"Billbergia_distachia",-46.8217,-22.4361
"Billbergia_distachia",-49.635363,-25.453826
"Billbergia_distachia",-43.9378,-19.9208
"Billbergia_distachia",-45.28,-22.5092
"Billbergia_distachia",-49.6325,-22.8989
"Billbergia_distachia",-40.7497,-20.635
"Billbergia_distachia",-49.412222,-27.178889
"Billbergia_distachia",-46.935778,-23.230444
"Billbergia_distachia",-46.1447,-22.7553
"Billbergia_distachia",-48.745833,-23.538333
"Billbergia_distachia",-50.220556,-27.000278
"Billbergia_distachia",-44.3233,-22.6836
"Billbergia_distachia",-49.3317,-24.1125
"Billbergia_distachia",-48.964444,-27.802778
"Billbergia_distachia",-45.0758334,-22.4644444
"Billbergia_distachia",-44.56667,-22.25
"Billbergia_distachia",-41.6925,-22.0261
"Billbergia_distachia",-48.871111,-26.819722
"Billbergia_distachia",-49.6852778,-26.7022222
"Billbergia_distachia",-50.129447,-27.000294
"Billbergia_distachia",-42.3456,-21.6564
"Billbergia_distachia",-46.616592,-23.639894
"Billbergia_distachia",-46.533333,-22.95
"Billbergia_distachia",-43.2075,-22.9028
"Billbergia_distachia",-43.87246,-21.70193
"Billbergia_distachia",-48.403333,-24.636667
"Billbergia_distachia",-43.89967,-21.70931
"Billbergia_distachia",-49.047789,-26.192511
"Billbergia_distachia",-43.88229,-21.67837
"Billbergia_distachia",-43.9758,-21.1869
"Billbergia_distachia",-48.5428,-25.8175
"Billbergia_distachia",-43.9333,-21.85
"Billbergia_distachia",-46.7467,-22.1928
"Billbergia_distachia",-43.8628,-22.0129
"Billbergia_distachia",-48.981299,-25.497056
"Billbergia_distachia",-50.0064,-25.4294
"Billbergia_distachia",-48.69,-27.72
"Billbergia_distachia",-48.72,-26.37
"Billbergia_distachia",-49.0769,-25.3656
