"lon","lat"
-49.635363,-25.453826
-44.9325,-21.9772
-44.7328,-22.142
-45.5553,-23.0264
-46.4643,-23.5735
-50.220556,-27.000278
-49.19,-25.44
-47.0608,-22.9056
-49.068056,-24.080833
-46.598056,-21.838889
-43.9378,-19.9208
-47.533333,-22.383333
-44.56667,-22.25
-46.8217,-22.4361
-49.7058,-24.2511
-44.0722,-21.8916
-48.8344,-25.4769
-44.5778,-22.645
-47.416667,-21.816667
-43.6003,-18.2494
-46.935778,-23.230444
-43.2075,-22.9028
-48.8911111,-27.4758333
-50.036667,-27.091389
-45.15528,-23.34583
-50.4606,-25.3683
-49.128056,-27.859167
-48.745833,-23.538333
-47.99222,-24.27556
-48.457778,-22.923056
-48.871111,-26.819722
-48.12,-22.28
-45.4975,-23.71333
-43.8278,-22.0892
-40.7497,-20.635
-46.1883,-23.5228
-48.727225,-26.055025
-43.5667,-21.4667
-46.623889,-23.01
-43.9758,-21.1869
-49.0858,-24.9744
-48.430003,-27.479167
-43.87404,-21.7086
-42.3456,-21.6564
-47.816667,-22.25
-48.981299,-25.497056
-48.964444,-27.802778
-44.359056,-22.792278
-48.5747,-25.8828
-49.770556,-27.090278
-50.0064,-25.4294
