"sp","lon","lat"
"Billbergia_distachia",-46.6361,-23.5475
"Billbergia_distachia",-44.95583333,-23.07416667
"Billbergia_distachia",-49.06,-25.31
"Billbergia_distachia",-49.0633,-25.4417
"Billbergia_distachia",-46.533333,-22.95
"Billbergia_distachia",-49.317911,-28.30578
"Billbergia_distachia",-46.616592,-23.639894
"Billbergia_distachia",-48.5538889,-23.9333333
"Billbergia_distachia",-50.4122,-22.6617
"Billbergia_distachia",-43.2075,-22.9028
"Billbergia_distachia",-48.69,-27.72
"Billbergia_distachia",-49.6852778,-26.7022222
"Billbergia_distachia",-44.675,-22.5017
"Billbergia_distachia",-49.635363,-25.453826
"Billbergia_distachia",-49.350644,-26.418394
"Billbergia_distachia",-40.7497,-20.635
"Billbergia_distachia",-46.7,-23.65
"Billbergia_distachia",-48.5094,-27.1422
"Billbergia_distachia",-46.7467,-22.1928
"Billbergia_distachia",-44.9497222,-22.0419445
"Billbergia_distachia",-47.416667,-21.816667
"Billbergia_distachia",-45.4425,-22.655278
"Billbergia_distachia",-48.978611,-25.95
"Billbergia_distachia",-45.59611111,-22.74277778
"Billbergia_distachia",-45.4658,-22.2428
"Billbergia_distachia",-48.12,-22.28
"Billbergia_distachia",-49.410833,-27.09
"Billbergia_distachia",-43.9378,-19.9208
"Billbergia_distachia",-44.3233,-22.6836
"Billbergia_distachia",-43.88229,-21.67837
"Billbergia_distachia",-45.4528,-22.4256
"Billbergia_distachia",-49.3317,-24.1125
"Billbergia_distachia",-49.298889,-28.285278
"Billbergia_distachia",-47.99222,-24.27556
"Billbergia_distachia",-48.8911111,-27.4758333
"Billbergia_distachia",-48.964444,-27.802778
"Billbergia_distachia",-50.0064,-25.4294
"Billbergia_distachia",-49.0769,-25.3656
"Billbergia_distachia",-44.4467,-22.4689
"Billbergia_distachia",-48.72,-26.37
"Billbergia_distachia",-44.56667,-22.25
"Billbergia_distachia",-47.6167,-22.2167
"Billbergia_distachia",-48.457778,-22.923056
"Billbergia_distachia",-47.533333,-22.383333
"Billbergia_distachia",-46.7266,-23.5806
"Billbergia_distachia",-46.1883,-23.5228
"Billbergia_distachia",-48.6556,-27.4942
"Billbergia_distachia",-41.6925,-22.0261
"Billbergia_distachia",-47.0608,-22.9056
"Billbergia_distachia",-48.5428,-25.8175
"Billbergia_distachia",-44.0722,-21.8916
"Billbergia_distachia",-46.941722,-23.824667
"Billbergia_distachia",-46.623889,-23.01
"Billbergia_distachia",-49.6325,-22.8989
"Billbergia_distachia",-45.15528,-23.34583
"Billbergia_distachia",-46.1447,-22.7553
"Billbergia_distachia",-49.139167,-27.096944
"Billbergia_distachia",-48.871111,-26.819722
"Billbergia_distachia",-49.068056,-24.080833
"Billbergia_distachia",-50.129447,-27.000294
"Billbergia_distachia",-48.07,-24.062222
"Billbergia_distachia",-46.4643,-23.5735
"Billbergia_distachia",-46.5503,-23.1169
"Billbergia_distachia",-49.128056,-27.859167
"Billbergia_distachia",-49.770556,-27.090278
"Billbergia_distachia",-44.359056,-22.792278
"Billbergia_distachia",-48.680833,-22.867778
"Billbergia_distachia",-49.2064,-25.5347
"Billbergia_distachia",-43.6003,-18.2494
"Billbergia_distachia",-46.935778,-23.230444
"Billbergia_distachia",-48.6619,-26.9078
"Billbergia_distachia",-46.8217,-22.4361
"Billbergia_distachia",-49.19,-25.44
"Billbergia_distachia",-47.9541667,-24.0725
"Billbergia_distachia",-43.9333,-21.85
"Billbergia_distachia",-46.3688889,-21.9958333
"Billbergia_distachia",-49.083333,-27.048333
"Billbergia_distachia",-46.7644,-22.7011
"Billbergia_distachia",-43.5448,-21.4155
"Billbergia_distachia",-48.430003,-27.479167
"Billbergia_distachia",-43.87246,-21.70193
"Billbergia_distachia",-45.6738889,-20.3572222
"Billbergia_distachia",-43.8628,-22.0129
"Billbergia_distachia",-43.8278,-22.0892
"Billbergia_distachia",-43.5667,-21.4667
"Billbergia_distachia",-44.9325,-21.9772
"Billbergia_distachia",-49.0858,-24.9744
"Billbergia_distachia",-49.501667,-27.36
"Billbergia_distachia",-45.4975,-23.71333
"Billbergia_distachia",-43.89967,-21.70931
