"sp","lon","lat"
"Billbergia_euphemiae",-42.955,-21.431667
"Billbergia_euphemiae",-41.07,-20.4401
"Billbergia_euphemiae",-48.1222222,-25.2194444
"Billbergia_euphemiae",-40.575556,-19.887222
"Billbergia_euphemiae",-42.0081,-21.9553
"Billbergia_euphemiae",-40.1624,-19.4914
"Billbergia_euphemiae",-40.925833,-20.500833
"Billbergia_euphemiae",-40.534722,-19.3325
"Billbergia_euphemiae",-40.1227778,-14.4202778
"Billbergia_euphemiae",-40.604167,-19.780833
"Billbergia_euphemiae",-41.473056,-20.364722
