"sp","lon","lat"
"Billbergia_zebrina",-42.9675,-21.4597
"Billbergia_zebrina",-50.003633,-29.623934
"Billbergia_zebrina",-40.7544444,-20.2033334
"Billbergia_zebrina",-43.7753,-22.8522
"Billbergia_zebrina",-52.4242,-27.1636
"Billbergia_zebrina",-49.0297,-22.3553
"Billbergia_zebrina",-49.71,-24.25
"Billbergia_zebrina",-46.39,-23.96
"Billbergia_zebrina",-47.472222,-21.942222
"Billbergia_zebrina",-47.644722,-24.766111
"Billbergia_zebrina",-42.955,-21.431667
"Billbergia_zebrina",-40.599556,-20.14175
"Billbergia_zebrina",-54.2631,-28.2992
"Billbergia_zebrina",-52.5317,-26.5581
"Billbergia_zebrina",-53.904,-29.643417
"Billbergia_zebrina",-43.1036,-22.8833
