"sp","lon","lat"
"Cattleya_coccinea",-44.6031,-21.9756
"Cattleya_coccinea",-50.13222,-27.275
"Cattleya_coccinea",-45.866667,-23.633333
"Cattleya_coccinea",-48.6381,-26.2433
"Cattleya_coccinea",-50.5836,-29.4481
"Cattleya_coccinea",-43.1786,-22.505
"Cattleya_coccinea",-41.7869,-22.3708
"Cattleya_coccinea",-44.7286,-22.1428
"Cattleya_coccinea",-50.0658,-28.7483
"Cattleya_coccinea",-41.8683,-20.4333
"Cattleya_coccinea",-48.8344,-25.4769
"Cattleya_coccinea",-49.8731,-27.9528
"Cattleya_coccinea",-44.4467,-22.4689
"Cattleya_coccinea",-48.956667,-25.890278
"Cattleya_coccinea",-48.7789,-22.1931
