"lon","lat"
-49.49,-27.8
-50.0658,-28.7483
-48.6381,-26.2433
-49.9503,-29.1967
-41.473056,-20.3458
-42.53,-22.28
-45.7308,-22.6889
-44.6031,-21.9756
-45.3383333,-22.6122222
-41.7869,-22.3708
-48.7401,-25.4311
-43.1786,-22.505
-43.4161,-20.3778
-43.425,-19.0372
-44.833333,-23.333333
-43.3503,-21.7642
-44.366111,-22.806389
-50.223333,-26.8175
-49.115,-25.2061
-54.53657,-26.88136
-43.89387,-21.71469
-41.8683,-20.4333
-44.8080556,-22.5002778
-51.6708,-29.4494
-46.5511,-23.6231
-44.4467,-22.4689
-48.956667,-25.890278
-41.100556,-20.519167
-44.5633,-22.4961
-45.5914,-22.7394
-50.4269,-26.9608
-48.7789,-22.1931
-46.31666667,-23.78333333
-52.9867,-27.0703
-49.5917,-28.015
-49.949812,-28.802008
-44.7286,-22.1428
-49.366667,-28.05
-42.0081,-21.9553
-44.0722,-21.8916
-43.013333,-22.911111
-50.0147,-25.4672
-43.9333,-21.85
-44.9667,-22.3903
-40.924167,-20.176944
-49.4528,-28.8467
-49.8731,-27.9528
-43.4697223,-22.5658333
-41.3664,-21.0642
-43.01333333,-22.45083333
-45.8464,-23.5322
-50.13222,-27.275
-49.2064,-25.5347
-49.494323,-28.126533
-49.0769,-25.3656
-44.982008,-23.23785
-47.916667,-24.166667
-46.7,-23.983333
-49.544826,-28.400993
-49.2656,-26.1925
-50.1447,-29.0478
-43.3067,-18.4658
-46.1883,-23.5228
-43.451667,-20.109444
-49.026944,-27.263611
-49.148472,-27.696194
-41.0230556,-21.1138889
-50.5836,-29.4481
-43.7144,-19.1689
-48.830907,-25.240888
-49.320833,-28.890278
-42.44466,-20.6795
-48.933333,-25.333333
-43.5081,-20.2875
-43.8278,-22.0892
