"sp","lon","lat"
"Cattleya_coccinea",-49.49,-27.8
"Cattleya_coccinea",-50.0658,-28.7483
"Cattleya_coccinea",-48.6381,-26.2433
"Cattleya_coccinea",-49.9503,-29.1967
"Cattleya_coccinea",-41.473056,-20.3458
"Cattleya_coccinea",-42.53,-22.28
"Cattleya_coccinea",-45.7308,-22.6889
"Cattleya_coccinea",-45.866667,-23.633333
"Cattleya_coccinea",-44.6031,-21.9756
"Cattleya_coccinea",-49.320556,-27.990556
"Cattleya_coccinea",-45.3383333,-22.6122222
"Cattleya_coccinea",-41.7869,-22.3708
"Cattleya_coccinea",-48.7401,-25.4311
"Cattleya_coccinea",-43.1786,-22.505
"Cattleya_coccinea",-49.0633,-25.4417
"Cattleya_coccinea",-43.4161,-20.3778
"Cattleya_coccinea",-43.425,-19.0372
"Cattleya_coccinea",-44.833333,-23.333333
"Cattleya_coccinea",-43.3503,-21.7642
"Cattleya_coccinea",-44.366111,-22.806389
"Cattleya_coccinea",-50.223333,-26.8175
"Cattleya_coccinea",-49.115,-25.2061
"Cattleya_coccinea",-54.53657,-26.88136
"Cattleya_coccinea",-43.505417,-20.3695
"Cattleya_coccinea",-49.0553,-25.3056
"Cattleya_coccinea",-43.89387,-21.71469
"Cattleya_coccinea",-49.49375,-28.123028
"Cattleya_coccinea",-41.8683,-20.4333
"Cattleya_coccinea",-44.8080556,-22.5002778
"Cattleya_coccinea",-51.6708,-29.4494
"Cattleya_coccinea",-46.5511,-23.6231
"Cattleya_coccinea",-44.4467,-22.4689
"Cattleya_coccinea",-48.956667,-25.890278
"Cattleya_coccinea",-41.100556,-20.519167
"Cattleya_coccinea",-44.5633,-22.4961
"Cattleya_coccinea",-45.5914,-22.7394
"Cattleya_coccinea",-50.4269,-26.9608
"Cattleya_coccinea",-48.7789,-22.1931
"Cattleya_coccinea",-46.31666667,-23.78333333
"Cattleya_coccinea",-52.9867,-27.0703
"Cattleya_coccinea",-49.5917,-28.015
"Cattleya_coccinea",-49.949812,-28.802008
"Cattleya_coccinea",-44.7286,-22.1428
"Cattleya_coccinea",-49.366667,-28.05
"Cattleya_coccinea",-42.0081,-21.9553
"Cattleya_coccinea",-44.0722,-21.8916
"Cattleya_coccinea",-43.013333,-22.911111
"Cattleya_coccinea",-50.0147,-25.4672
"Cattleya_coccinea",-43.9333,-21.85
"Cattleya_coccinea",-44.9667,-22.3903
"Cattleya_coccinea",-40.924167,-20.176944
"Cattleya_coccinea",-49.4528,-28.8467
"Cattleya_coccinea",-49.8731,-27.9528
"Cattleya_coccinea",-43.4697223,-22.5658333
"Cattleya_coccinea",-41.3664,-21.0642
"Cattleya_coccinea",-43.01333333,-22.45083333
"Cattleya_coccinea",-48.8344,-25.4769
"Cattleya_coccinea",-45.8464,-23.5322
"Cattleya_coccinea",-50.13222,-27.275
"Cattleya_coccinea",-49.2064,-25.5347
"Cattleya_coccinea",-46.7322,-23.988
"Cattleya_coccinea",-49.494323,-28.126533
"Cattleya_coccinea",-49.0769,-25.3656
"Cattleya_coccinea",-44.982008,-23.23785
"Cattleya_coccinea",-47.916667,-24.166667
"Cattleya_coccinea",-46.7,-23.983333
"Cattleya_coccinea",-49.544826,-28.400993
"Cattleya_coccinea",-49.2656,-26.1925
"Cattleya_coccinea",-50.1447,-29.0478
"Cattleya_coccinea",-43.3067,-18.4658
"Cattleya_coccinea",-46.1883,-23.5228
"Cattleya_coccinea",-43.451667,-20.109444
"Cattleya_coccinea",-49.026944,-27.263611
"Cattleya_coccinea",-49.148472,-27.696194
"Cattleya_coccinea",-41.0230556,-21.1138889
"Cattleya_coccinea",-50.5836,-29.4481
"Cattleya_coccinea",-43.7144,-19.1689
"Cattleya_coccinea",-48.830907,-25.240888
"Cattleya_coccinea",-49.320833,-28.890278
"Cattleya_coccinea",-42.44466,-20.6795
"Cattleya_coccinea",-48.929986,-25.447705
"Cattleya_coccinea",-48.933333,-25.333333
"Cattleya_coccinea",-43.5081,-20.2875
"Cattleya_coccinea",-43.8278,-22.0892
