"lon","lat"
-44.177778,-21.110278
-43.8278,-22.0892
-43.1786,-22.505
-40.36,-19.5609
-40.472222,-19.914167
-48.391944,-24.646389
-49.3317,-24.1125
-41.543056,-20.938611
-40.620556,-19.931111
-46.623889,-23.01
-43.7144,-19.1689
-49.115,-25.2061
-40.0722,-19.3911
-50.5803,-23.9108
-44.3017,-20.0703
-49.2731,-25.4278
-51.2294,-23.9014
-46.5503,-23.1169
-43.8833333,-21.7166667
-44.0528,-20.3331
-51.935631,-23.408519
-48.166389,-24.934722
-50.583333,-24.35
-44.6425,-21.4875
-48.8344,-25.4769
-41.1725,-20.0846
-41.100556,-20.519167
-43.9333,-21.85
-46.1925,-23.49138889
-48.957778,-26.211944
-40.069308,-19.18495
-43.3503,-21.7642
-44.7131,-23.2178
-49.0769,-25.3656
-45.4131,-23.6203
-46.7,-23.65
-45.3225,-22.5744445
-39.803889,-18.263889
-43.544444,-19.281389
-48.336076,-25.509754
