"sp","lon","lat"
"Codonanthe_gracilis",-49.757112,-29.35781
"Codonanthe_gracilis",-47.5535,-24.1101
"Codonanthe_gracilis",-47.669444,-24.205555
"Codonanthe_gracilis",-47.936111,-24.168333
"Codonanthe_gracilis",-43.001361,-22.493944
"Codonanthe_gracilis",-49.083333,-27.048333
"Codonanthe_gracilis",-48.563333,-26.349722
"Codonanthe_gracilis",-40.632778,-19.915
"Codonanthe_gracilis",-39.33,-15.16
"Codonanthe_gracilis",-43.482796,-23.016442
"Codonanthe_gracilis",-49.0769,-25.3656
"Codonanthe_gracilis",-43.1786,-22.505
"Codonanthe_gracilis",-46.7431,-23.9853
"Codonanthe_gracilis",-48.600791,-26.176814
"Codonanthe_gracilis",-39.202778,-14.770278
"Codonanthe_gracilis",-40.749444,-20.635278
