"sp","lon","lat"
"Codonanthe_gracilis",-47.5939,-24.083
"Codonanthe_gracilis",-39.466667,-13.683333
"Codonanthe_gracilis",-39.4958,-15.4192
"Codonanthe_gracilis",-48.083333,-24.233333
"Codonanthe_gracilis",-39.202778,-14.770278
"Codonanthe_gracilis",-48.391944,-24.646389
"Codonanthe_gracilis",-49.118056,-27.006944
"Codonanthe_gracilis",-50.003633,-29.623934
"Codonanthe_gracilis",-46.1883,-23.5228
"Codonanthe_gracilis",-39.33,-15.16
"Codonanthe_gracilis",-47.669444,-24.205555
"Codonanthe_gracilis",-39.6,-14.7
"Codonanthe_gracilis",-43.1786,-22.505
"Codonanthe_gracilis",-48.800209,-25.378213
"Codonanthe_gracilis",-39.06,-14.7889
"Codonanthe_gracilis",-47.5535,-24.1101
"Codonanthe_gracilis",-40.749444,-20.635278
"Codonanthe_gracilis",-49.757112,-29.35781
"Codonanthe_gracilis",-49.317911,-28.30578
"Codonanthe_gracilis",-45.8464,-23.5322
"Codonanthe_gracilis",-39.083333,-15.15
"Codonanthe_gracilis",-39.133333,-13.716667
"Codonanthe_gracilis",-42.5103,-22.92
"Codonanthe_gracilis",-48.690833,-27.000278
"Codonanthe_gracilis",-42.8333333,-22.4333333
"Codonanthe_gracilis",-48.4786,-27.584
"Codonanthe_gracilis",-47.876944,-24.608333
"Codonanthe_gracilis",-43.482796,-23.016442
"Codonanthe_gracilis",-47.644528,-24.180222
"Codonanthe_gracilis",-48.7401,-25.4311
"Codonanthe_gracilis",-39.3811111,-15.2047222
"Codonanthe_gracilis",-48.5092,-25.52
"Codonanthe_gracilis",-47.616667,-24.566667
"Codonanthe_gracilis",-47.5072,-23.9636
"Codonanthe_gracilis",-47.966667,-24.133333
"Codonanthe_gracilis",-42.447294,-22.927622
"Codonanthe_gracilis",-49.846111,-29.393611
"Codonanthe_gracilis",-40.746111,-20.040833
"Codonanthe_gracilis",-48.600791,-26.176814
"Codonanthe_gracilis",-43.257781,-22.96306
"Codonanthe_gracilis",-45.866667,-23.633333
"Codonanthe_gracilis",-42.5311,-22.2819
"Codonanthe_gracilis",-47.876944,-24.675833
"Codonanthe_gracilis",-49.2064,-25.5347
"Codonanthe_gracilis",-48.316041,-25.521936
"Codonanthe_gracilis",-43.1036,-22.8833
"Codonanthe_gracilis",-44.0833333,-22.9833333
"Codonanthe_gracilis",-44.833778,-23.152694
"Codonanthe_gracilis",-48.920598,-25.440958
"Codonanthe_gracilis",-45.3,-23.75
"Codonanthe_gracilis",-48.116667,-24.664167
"Codonanthe_gracilis",-48.3289,-25.3067
"Codonanthe_gracilis",-47.9667,-25.1333
"Codonanthe_gracilis",-47.8811,-24.715
"Codonanthe_gracilis",-46.39,-23.96
"Codonanthe_gracilis",-48.7808,-28.4825
"Codonanthe_gracilis",-47.644722,-24.766111
"Codonanthe_gracilis",-48.29724,-25.179626
"Codonanthe_gracilis",-40.4446,-20.0227
"Codonanthe_gracilis",-48.599444,-27.904722
"Codonanthe_gracilis",-46.76666667,-23.90194444
"Codonanthe_gracilis",-48.296759,-25.548026
"Codonanthe_gracilis",-43.001361,-22.493944
"Codonanthe_gracilis",-48.4925,-27.775278
"Codonanthe_gracilis",-44.8381,-23.3769
"Codonanthe_gracilis",-46.775278,-23.989167
"Codonanthe_gracilis",-49.083333,-27.048333
"Codonanthe_gracilis",-40.5625,-19.951667
"Codonanthe_gracilis",-39.090278,-13.328889
"Codonanthe_gracilis",-47.936111,-24.168333
"Codonanthe_gracilis",-47.858333,-24.879444
"Codonanthe_gracilis",-47.929167,-25.077222
"Codonanthe_gracilis",-44.7131,-23.2178
"Codonanthe_gracilis",-44.858333,-23.35
"Codonanthe_gracilis",-45.0711,-23.4339
"Codonanthe_gracilis",-41.61232,-21.79094
"Codonanthe_gracilis",-44.833056,-23.361389
"Codonanthe_gracilis",-48.870414,-25.596849
"Codonanthe_gracilis",-46.62529,-23.533773
"Codonanthe_gracilis",-48.525278,-27.602778
"Codonanthe_gracilis",-48.336076,-25.509754
"Codonanthe_gracilis",-46.7431,-23.9853
"Codonanthe_gracilis",-49.2611,-24.8236
"Codonanthe_gracilis",-49.0769,-25.3656
"Codonanthe_gracilis",-47.91194444,-25.01777778
"Codonanthe_gracilis",-49.2914,-28.3589
"Codonanthe_gracilis",-44.1356,-22.7231
"Codonanthe_gracilis",-39.722222,-14.167222
"Codonanthe_gracilis",-40.530278,-19.971389
"Codonanthe_gracilis",-39.0753,-15.2933
"Codonanthe_gracilis",-48.83,-25.48
"Codonanthe_gracilis",-46.35,-23.7666667
"Codonanthe_gracilis",-48.89675,-25.962917
"Codonanthe_gracilis",-42.3166667,-22.5
"Codonanthe_gracilis",-49.1478,-28.5589
"Codonanthe_gracilis",-49.154444,-26.3
"Codonanthe_gracilis",-45.4097,-23.76
"Codonanthe_gracilis",-40.620278,-19.923889
"Codonanthe_gracilis",-49.154722,-26.939167
"Codonanthe_gracilis",-48.5111,-25.6736
"Codonanthe_gracilis",-47.924444,-25.020833
"Codonanthe_gracilis",-42.748626,-22.425321
"Codonanthe_gracilis",-48.166389,-24.934722
"Codonanthe_gracilis",-44.647222,-23.044167
"Codonanthe_gracilis",-48.2188,-24.1827
"Codonanthe_gracilis",-49.7636,-28.9975
"Codonanthe_gracilis",-46.31666667,-23.78333333
"Codonanthe_gracilis",-48.563333,-26.349722
"Codonanthe_gracilis",-48.5747,-25.8828
"Codonanthe_gracilis",-40.553056,-19.9075
"Codonanthe_gracilis",-43.21,-22.9
"Codonanthe_gracilis",-46.4133,-23.7106
"Codonanthe_gracilis",-49.0553,-25.3056
"Codonanthe_gracilis",-46.55,-23.683333
"Codonanthe_gracilis",-43.51194,-23.04361
"Codonanthe_gracilis",-39.0439,-13.4869
"Codonanthe_gracilis",-48.981299,-25.497056
"Codonanthe_gracilis",-40.632778,-19.915
"Codonanthe_gracilis",-47.0194445,-24.4002778
