"sp","lon","lat"
"Dichaea_cogniauxiana",-43.5081,-20.2875
"Dichaea_cogniauxiana",-48.957778,-26.211944
"Dichaea_cogniauxiana",-46.775278,-23.989167
"Dichaea_cogniauxiana",-43.7144,-19.1689
"Dichaea_cogniauxiana",-39.202778,-14.778611
"Dichaea_cogniauxiana",-42.5609,-21.2276
"Dichaea_cogniauxiana",-41.474379,-20.366132
"Dichaea_cogniauxiana",-39.602222,-14.703056
"Dichaea_cogniauxiana",-35.69138889,-6.963333333
"Dichaea_cogniauxiana",-39.33,-15.16
"Dichaea_cogniauxiana",-41.8683,-20.4333
"Dichaea_cogniauxiana",-48.920598,-25.440958
"Dichaea_cogniauxiana",-39.3233,-14.3125
"Dichaea_cogniauxiana",-43.8833333,-21.7166667
"Dichaea_cogniauxiana",-40.530278,-19.971389
"Dichaea_cogniauxiana",-40.924167,-20.176944
"Dichaea_cogniauxiana",-43.4075,-20.0747
"Dichaea_cogniauxiana",-43.5448,-21.4155
"Dichaea_cogniauxiana",-42.98916667,-22.45
"Dichaea_cogniauxiana",-40.6592,-20.3633
"Dichaea_cogniauxiana",-41.3664,-21.0642
"Dichaea_cogniauxiana",-40.510556,-19.823611
"Dichaea_cogniauxiana",-42.5,-22.4666667
"Dichaea_cogniauxiana",-49.087778,-27.056667
"Dichaea_cogniauxiana",-41.6672,-20.5414
"Dichaea_cogniauxiana",-43.8014,-20.2533
"Dichaea_cogniauxiana",-39.5425,-14.771944
"Dichaea_cogniauxiana",-41.46747,-20.378536
"Dichaea_cogniauxiana",-40.5402778,-20.3533333
"Dichaea_cogniauxiana",-39.066667,-15.166667
"Dichaea_cogniauxiana",-41.555833,-20.938611
"Dichaea_cogniauxiana",-48.403611,-24.630556
"Dichaea_cogniauxiana",-42.44466,-20.6795
"Dichaea_cogniauxiana",-48.336076,-25.509754
"Dichaea_cogniauxiana",-42.8333333,-22.4333333
"Dichaea_cogniauxiana",-48.29724,-25.179626
