"lon","lat"
-41.0377778,-20.7063889
-43.4511,-22.7592
-49.153889,-26.300556
-39.4953,-15.1914
-40.553056,-19.9075
-49.2731,-25.4278
-40.432222,-20.093889
-49.047789,-26.192511
-49.2914,-28.3589
-41.7869,-22.3708
-41.3664,-21.0642
-40.749444,-20.635278
-47.966667,-24.133333
-48.7675,-27.5169
-49.083333,-27.048333
-47.33333333,-24.36666667
-40.302,-20.1821
-45.2038889,-23.4591666
-48.7401,-25.4311
-48.4925,-27.775278
-48.69,-28.08
-41.100556,-20.519167
-40.604167,-19.780833
-42.6531,-22.4625
-44.7131,-23.2178
-40.4059,-20.2447
-49.4978,-28.6367
-48.8272,-26.8997
-42.6097,-22.7086
-40.533333,-20.266667
-49.770011,-28.710008
-48.5048,-24.7565
-49.14,-27.18
-44.5666667,-22.25
