"sp","lon","lat"
"Edmundoa_lindenii",-40.925833,-20.500833
"Edmundoa_lindenii",-44.858333,-23.358333
"Edmundoa_lindenii",-49.14,-27.18
"Edmundoa_lindenii",-42.6308334,-22.3538889
"Edmundoa_lindenii",-47.33333333,-24.36666667
"Edmundoa_lindenii",-43.2075,-22.9028
"Edmundoa_lindenii",-40.4059,-20.2447
"Edmundoa_lindenii",-53.7583,-27.3711
"Edmundoa_lindenii",-41.539444,-20.938611
"Edmundoa_lindenii",-49.118056,-27.006944
"Edmundoa_lindenii",-49.317911,-28.30578
"Edmundoa_lindenii",-43.1786,-22.505
"Edmundoa_lindenii",-42.45,-22.35
"Edmundoa_lindenii",-41.7869,-22.3708
"Edmundoa_lindenii",-49.4978,-28.6367
"Edmundoa_lindenii",-47.936111,-24.168333
"Edmundoa_lindenii",-48.8272,-26.8997
"Edmundoa_lindenii",-42.7375,-22.40805556
"Edmundoa_lindenii",-43.78556,-22.74444
"Edmundoa_lindenii",-47.929167,-25.077222
"Edmundoa_lindenii",-49.71,-24.25
"Edmundoa_lindenii",-47.285297,-23.825694
"Edmundoa_lindenii",-39.526944,-15.155
"Edmundoa_lindenii",-41.3664,-21.0642
"Edmundoa_lindenii",-41.100556,-20.519167
"Edmundoa_lindenii",-44.993333,-23.245833
"Edmundoa_lindenii",-42.6531,-22.4625
"Edmundoa_lindenii",-48.3289,-25.3067
"Edmundoa_lindenii",-48.78,-28.08
"Edmundoa_lindenii",-39.4953,-15.1914
"Edmundoa_lindenii",-51.2375,-30.019167
"Edmundoa_lindenii",-48.92,-27.1
"Edmundoa_lindenii",-49.945278,-29.045278
"Edmundoa_lindenii",-40.749444,-20.635278
"Edmundoa_lindenii",-40.9738889,-20.5955555
"Edmundoa_lindenii",-49.047789,-26.192511
"Edmundoa_lindenii",-49.153889,-26.300556
"Edmundoa_lindenii",-40.626944,-20.016667
"Edmundoa_lindenii",-49.378611,-26.250556
"Edmundoa_lindenii",-42.6097,-22.7086
"Edmundoa_lindenii",-44.359056,-22.792278
"Edmundoa_lindenii",-40.3459,-20.1901
"Edmundoa_lindenii",-46.1883,-23.5228
"Edmundoa_lindenii",-43.4511,-22.7592
"Edmundoa_lindenii",-49.770011,-28.710008
"Edmundoa_lindenii",-48.8344,-25.4769
"Edmundoa_lindenii",-48.5092,-25.52
"Edmundoa_lindenii",-48.7675,-27.5169
"Edmundoa_lindenii",-43.0111111,-22.4897222
"Edmundoa_lindenii",-49.139353,-27.097017
"Edmundoa_lindenii",-40.302,-20.1821
"Edmundoa_lindenii",-40.604167,-19.780833
"Edmundoa_lindenii",-44.7131,-23.2178
"Edmundoa_lindenii",-48.4925,-27.775278
"Edmundoa_lindenii",-47.9155556,-24.8263889
"Edmundoa_lindenii",-40.432222,-20.093889
"Edmundoa_lindenii",-44.0833333,-22.9833333
"Edmundoa_lindenii",-48.5048,-24.7565
"Edmundoa_lindenii",-40.530278,-19.971389
"Edmundoa_lindenii",-49.083333,-27.048333
"Edmundoa_lindenii",-50.5197,-29.8175
"Edmundoa_lindenii",-47.9666667,-24.0791667
"Edmundoa_lindenii",-48.5408333,-25.8041666
"Edmundoa_lindenii",-48.7401,-25.4311
"Edmundoa_lindenii",-47.966667,-24.133333
"Edmundoa_lindenii",-41.0377778,-20.7063889
"Edmundoa_lindenii",-48.5136,-27.531
"Edmundoa_lindenii",-41.5331,-20.7636
"Edmundoa_lindenii",-49.2731,-25.4278
"Edmundoa_lindenii",-45.2038889,-23.4591666
"Edmundoa_lindenii",-43.4689,-22.4539
"Edmundoa_lindenii",-38.7667,-12.05
"Edmundoa_lindenii",-44.5666667,-22.25
"Edmundoa_lindenii",-49.2914,-28.3589
"Edmundoa_lindenii",-48.40028,-24.6525
"Edmundoa_lindenii",-40.55472,-20.29917
"Edmundoa_lindenii",-47.850833,-24.879444
"Edmundoa_lindenii",-40.553056,-19.9075
"Edmundoa_lindenii",-41.209722,-21.006944
"Edmundoa_lindenii",-48.69,-28.08
"Edmundoa_lindenii",-48.46889,-24.39611
"Edmundoa_lindenii",-48.93833,-26.81028
"Edmundoa_lindenii",-40.533333,-20.266667
"Edmundoa_lindenii",-41.553333,-20.936667
"Edmundoa_lindenii",-48.800209,-25.378213
