"sp","lon","lat"
"Encyclia_patens",-41.0875,-20.502778
"Encyclia_patens",-43.425,-19.0372
"Encyclia_patens",-48.336076,-25.509754
"Encyclia_patens",-40.0722,-19.3911
"Encyclia_patens",-46.7286,-23.5656
"Encyclia_patens",-43.5448,-21.4155
"Encyclia_patens",-43.89578,-21.71114
"Encyclia_patens",-48.7786,-27.6881
"Encyclia_patens",-39.33,-15.16
"Encyclia_patens",-40.553056,-19.9075
"Encyclia_patens",-41.4667,-21.2
"Encyclia_patens",-50.6156,-24.3239
"Encyclia_patens",-49.42725,-26.786944
"Encyclia_patens",-44.0722,-21.8916
"Encyclia_patens",-48.3289,-25.3067
"Encyclia_patens",-39.3405555,-15.17
