"lon","lat"
-42.8178,-21.4158
-42.5609,-21.2276
-49.4197,-24.5681
-40.069308,-19.18495
-41.557222,-20.790278
-41.8683,-20.4333
-46.6361,-23.5475
-44.7286,-22.1428
-45.94630278,-21.15478889
-47.416667,-21.816667
-51.244324,-23.445244
-46.883333,-23.183333
-48.3289,-25.3067
-47.8811,-24.715
-34.8811,-8.0539
-41.4667,-21.2
-48.8344,-25.4769
-47.916667,-24.166667
-50.709176,-24.13017
-48.336076,-25.509754
-43.88374,-21.70188
-47.929167,-25.077222
-43.8064,-20.9536
-40.3933,-20.2148
-43.8278,-22.0892
-43.2233334,-22.4313889
-44.7131,-23.2178
-40.472222,-19.914167
-40.8075,-19.851944
-47.995389,-24.057611
-49.71,-24.25
-48.5747,-25.8828
-43.9333,-21.85
-43.8467,-19.9856
-46.15,-23.85
-47.55,-21.466667
-49.59,-28.62
-46.5503,-23.1169
-40.0722,-19.3911
-44.6425,-21.4875
-46.19556389,-23.48779167
-43.8014,-20.2533
-42.505,-22.4361111
-48.82,-28.3414
-42.955,-21.431667
-39.3405555,-15.17
-46.9983,-24.32
-40.604167,-19.780833
-43.503055,-20.359722
-49.42725,-26.786944
-48.696111,-27.734722
-48.5092,-25.52
-48.4786,-27.584
-44.7266667,-22.4930556
-50.6156,-24.3239
-48.457778,-22.923056
-40.5416666,-20.3063889
-47.3533722,-24.0306333
-48.540556,-22.836667
-43.9758,-21.1869
-45.4097,-23.76
-41.544167,-20.938611
-43.3333333,-22.8333333
-43.4075,-20.0747
-43.1736,-19.81
-44.0722,-21.8916
-41.0875,-20.502778
-43.36972,-21.73222
-41.85,-13.316667
-48.29724,-25.179626
-44.7478,-21.1525
-48.6836,-27.9617
-41.3664,-21.0642
-41.3708,-13.0053
-43.425,-19.0372
-37.4253,-10.685
-43.669722,-19.88
-47.33333333,-24.36666667
-41.508056,-12.7525
-43.5448,-21.4155
