"sp","lon","lat"
"Gomesa_ranifera",-40.6592,-20.3633
"Gomesa_ranifera",-44.73767,-22.35813
"Gomesa_ranifera",-50.157705,-28.464002
"Gomesa_ranifera",-46.6361,-23.5475
"Gomesa_ranifera",-40.637778,-19.911667
"Gomesa_ranifera",-47.3533722,-24.0306333
"Gomesa_ranifera",-49.156269,-25.404914
"Gomesa_ranifera",-50.0064,-25.4294
"Gomesa_ranifera",-47.9972,-23.8783
"Gomesa_ranifera",-48.981299,-25.497056
"Gomesa_ranifera",-49.9486,-24.5261
"Gomesa_ranifera",-49.3261,-25.7789
"Gomesa_ranifera",-49.981568,-28.47165
"Gomesa_ranifera",-43.4075,-20.0747
"Gomesa_ranifera",-50.002322,-25.252682
"Gomesa_ranifera",-44.5633,-22.4961
"Gomesa_ranifera",-42.47723,-20.74142
"Gomesa_ranifera",-39.33,-15.16
