"sp","lon","lat"
"Gomesa_ranifera",-49.347156,-25.588749
"Gomesa_ranifera",-40.472222,-19.914167
"Gomesa_ranifera",-50.132222,-27.275
"Gomesa_ranifera",-49.3644,-26.7828
"Gomesa_ranifera",-49.298889,-28.285278
"Gomesa_ranifera",-40.746111,-20.040833
"Gomesa_ranifera",-46.178694,-22.5545
"Gomesa_ranifera",-43.22,-22.88
"Gomesa_ranifera",-44.7328,-22.142
"Gomesa_ranifera",-42.5666667,-22.55
"Gomesa_ranifera",-40.637778,-19.911667
"Gomesa_ranifera",-49.2242,-25.2917
"Gomesa_ranifera",-47.9972,-23.8783
"Gomesa_ranifera",-50.040497,-28.348378
"Gomesa_ranifera",-43.8278,-22.0892
"Gomesa_ranifera",-47.3533722,-24.0306333
"Gomesa_ranifera",-40.530278,-19.971389
"Gomesa_ranifera",-50.7806,-29.6506
"Gomesa_ranifera",-41.466962,-20.382173
"Gomesa_ranifera",-43.4075,-20.0747
"Gomesa_ranifera",-41.83186,-20.48032
"Gomesa_ranifera",-41.8683,-20.4333
"Gomesa_ranifera",-50.5844,-27.2828
"Gomesa_ranifera",-41.1347,-20.3397
"Gomesa_ranifera",-46.19139167,-23.48557222
"Gomesa_ranifera",-46.6361,-23.5475
"Gomesa_ranifera",-43.89578,-21.71114
"Gomesa_ranifera",-45.8056,-23.207778
"Gomesa_ranifera",-40.620556,-19.931111
"Gomesa_ranifera",-43.2269,-19.6192
"Gomesa_ranifera",-43.425,-19.0372
"Gomesa_ranifera",-40.516611,-15.805194
"Gomesa_ranifera",-41.473056,-20.3458
"Gomesa_ranifera",-49.26025,-25.36165
"Gomesa_ranifera",-43.8628,-22.0129
"Gomesa_ranifera",-49.249458,-25.397537
"Gomesa_ranifera",-49.635363,-25.453826
"Gomesa_ranifera",-49.7058,-24.2511
"Gomesa_ranifera",-49.21,-25.53
"Gomesa_ranifera",-49.981568,-28.47165
"Gomesa_ranifera",-49.590003,-27.090008
"Gomesa_ranifera",-49.0633,-25.4417
"Gomesa_ranifera",-46.241644,-22.436553
"Gomesa_ranifera",-43.6697,-19.88
"Gomesa_ranifera",-45.3222223,-22.5755556
"Gomesa_ranifera",-43.5081,-20.2875
"Gomesa_ranifera",-39.33,-15.16
"Gomesa_ranifera",-49.1925,-25.4447
"Gomesa_ranifera",-49.305147,-25.417946
"Gomesa_ranifera",-40.553056,-19.9075
"Gomesa_ranifera",-45.5914,-22.7394
"Gomesa_ranifera",-46.1841,-22.496286
"Gomesa_ranifera",-43.5448,-21.4155
"Gomesa_ranifera",-49.0769,-25.3656
"Gomesa_ranifera",-42.47723,-20.74142
"Gomesa_ranifera",-50.157705,-28.464002
"Gomesa_ranifera",-50.002322,-25.252682
"Gomesa_ranifera",-50.233633,-27.361006
"Gomesa_ranifera",-49.277089,-25.661593
"Gomesa_ranifera",-49.6356,-25.5839
"Gomesa_ranifera",-49.156269,-25.404914
"Gomesa_ranifera",-43.3669,-21.7925
"Gomesa_ranifera",-42.5311,-22.2819
"Gomesa_ranifera",-49.8731,-27.9528
"Gomesa_ranifera",-50.0064,-25.4294
