"lon","lat"
-43.5448,-21.4155
-42.4958,-21.2813
-44.993333,-23.245833
-43.182222,-21.655833
-43.26667,-22.55
-41.120556,-20.524444
-49.7158,-25.7697
-39.6313889,-16.8386111
-44.833333,-21.333333
-40.525,-20.267778
-41,-12
-39.4953,-15.1914
-40.6741666,-20.3288889
-46.3861,-21.9236
-44.2617,-21.1356
-42.8819,-20.7539
-42.992152,-22.458363
-39.6,-14.7
-49.0553,-25.3056
-39.33,-15.16
-43.69167,-22.54056
-43.2233334,-22.4313889
-49.1989,-25.9281
-45.1219445,-23.3188889
-45.4097,-23.76
-50.0064,-25.4294
-50.4136,-24.5094
-44.89,-21.9589
-48.265,-24.1627
-42.5,-22.4666667
-40.775,-19.797222
-43.1235,-22.536
-49.1439,-24.3176
-44.072778,-21.890278
-41.6544,-21.0253
-45.28,-22.5092
-43.9378,-19.9208
-43.505417,-20.3695
-41.5331,-20.7636
-43.87246,-21.70193
-40.0544444,-16.4063889
-44.14639,-21.07389
-41.9044,-20.5231
-43.9333,-21.85
-46.1447,-22.7553
-49.064444,-24.068333
-48.166389,-24.934722
-41.991389,-21.943333
-44.7131,-23.2178
-44.0244,-20.4078
-46.1883,-23.5228
-43.3503,-21.7642
-43.0406,-22.6528
-39.48,-13.69
-41.8472,-20.4197
-39.783333,-13.6
-51.935631,-23.408519
-46.7324,-23.6752
-46.640833,-23.448889
-44.6425,-21.4875
-46.31666667,-23.78333333
-41.4703,-20.3642
-41.466667,-12.45
-44.1911,-21.9472
-49.46479,-25.684961
-46.623889,-23.01
-43.425,-19.0372
-49.635363,-25.453826
-49.912969,-25.578059
-42.57639,-22.35944
-46.933333,-23.816667
-42.6572,-20.84
-43.8275,-22.08972
-44.524722,-22.333889
-49.419007,-25.835085
-43.7931,-21.8425
-50.534167,-24.336944
-43.8014,-20.2533
-41.203889,-21.009167
-42.5244,-20.8761
-49.6356,-25.5839
-47.971556,-24.063889
-49.7058,-24.2511
-44.3947,-22.1675
-44.781667,-22.455556
-50.8589,-25.0108
-43.72944,-18.95111
-42.9675,-21.4597
-44.9856,-21.7231
-45.8464,-23.5322
-46.5503,-23.1169
-44.9242,-22.4394
-44.6031,-21.9756
-43.4075,-20.0747
-46.616592,-23.639894
-49.012214,-25.528984
-42.35,-20.71667
-49.2731,-25.4278
-48.3653,-24.0992
-50.709176,-24.13017
-46.524444,-23.358056
-44.56,-22.5
-41.555833,-20.938611
-42.3789,-20.5825
-39.565278,-15.391667
-42.4808,-20.7219
-40.543611,-19.956667
-43.7144,-19.1689
-41.39,-12.5631
-43.46667,-22.45
-45.5914,-22.7394
-49.4636,-24.1128
-50.3828,-25.8742
-42.83333,-22.43333
-51.0972,-23.7233
-49.9975,-25.252778
-43.7894,-20.0875
-43.4686111,-22.5702778
-49.277089,-25.661593
-49,-24.5
-46.866667,-23.183333
