"sp","lon","lat"
"Hatiora_salicornioides",-43.5448,-21.4155
"Hatiora_salicornioides",-42.4958,-21.2813
"Hatiora_salicornioides",-49.26539,-25.38622
"Hatiora_salicornioides",-43.913333,-21.698611
"Hatiora_salicornioides",-49.1925,-25.4447
"Hatiora_salicornioides",-41.539444,-20.938611
"Hatiora_salicornioides",-44.993333,-23.245833
"Hatiora_salicornioides",-43.182222,-21.655833
"Hatiora_salicornioides",-43.0013889,-22.4513889
"Hatiora_salicornioides",-43.26667,-22.55
"Hatiora_salicornioides",-41.120556,-20.524444
"Hatiora_salicornioides",-50.591667,-24.35
"Hatiora_salicornioides",-49.7158,-25.7697
"Hatiora_salicornioides",-39.6313889,-16.8386111
"Hatiora_salicornioides",-44.833333,-21.333333
"Hatiora_salicornioides",-43.89578,-21.71114
"Hatiora_salicornioides",-40.525,-20.267778
"Hatiora_salicornioides",-47.966667,-24.133333
"Hatiora_salicornioides",-42.593095,-22.270956
"Hatiora_salicornioides",-49.249458,-25.397537
"Hatiora_salicornioides",-41,-12
"Hatiora_salicornioides",-43.8889,-22.01
"Hatiora_salicornioides",-49.22,-25.37
"Hatiora_salicornioides",-39.4953,-15.1914
"Hatiora_salicornioides",-41.8226,-20.494
"Hatiora_salicornioides",-40.6741666,-20.3288889
"Hatiora_salicornioides",-43.891389,-21.975556
"Hatiora_salicornioides",-46.3861,-21.9236
"Hatiora_salicornioides",-44.2617,-21.1356
"Hatiora_salicornioides",-42.8819,-20.7539
"Hatiora_salicornioides",-42.992152,-22.458363
"Hatiora_salicornioides",-39.6,-14.7
"Hatiora_salicornioides",-49.0553,-25.3056
"Hatiora_salicornioides",-39.33,-15.16
"Hatiora_salicornioides",-43.935,-21.703056
"Hatiora_salicornioides",-43.69167,-22.54056
"Hatiora_salicornioides",-43.2233334,-22.4313889
"Hatiora_salicornioides",-49.1989,-25.9281
"Hatiora_salicornioides",-45.1219445,-23.3188889
"Hatiora_salicornioides",-45.4097,-23.76
"Hatiora_salicornioides",-49.808853,-25.553261
"Hatiora_salicornioides",-50.0064,-25.4294
"Hatiora_salicornioides",-50.4136,-24.5094
"Hatiora_salicornioides",-44.89,-21.9589
"Hatiora_salicornioides",-43.8628,-22.0129
"Hatiora_salicornioides",-48.265,-24.1627
"Hatiora_salicornioides",-42.5,-22.4666667
"Hatiora_salicornioides",-40.775,-19.797222
"Hatiora_salicornioides",-43.1235,-22.536
"Hatiora_salicornioides",-49.1439,-24.3176
"Hatiora_salicornioides",-44.072778,-21.890278
"Hatiora_salicornioides",-41.6544,-21.0253
"Hatiora_salicornioides",-45.28,-22.5092
"Hatiora_salicornioides",-43.9378,-19.9208
"Hatiora_salicornioides",-43.505417,-20.3695
"Hatiora_salicornioides",-40.532222,-20.0475
"Hatiora_salicornioides",-41.5331,-20.7636
"Hatiora_salicornioides",-43.87246,-21.70193
"Hatiora_salicornioides",-40.0544444,-16.4063889
"Hatiora_salicornioides",-44.14639,-21.07389
"Hatiora_salicornioides",-41.9044,-20.5231
"Hatiora_salicornioides",-43.9333,-21.85
"Hatiora_salicornioides",-46.1447,-22.7553
"Hatiora_salicornioides",-49.064444,-24.068333
"Hatiora_salicornioides",-49.4103,-25.5931
"Hatiora_salicornioides",-40.530278,-19.971389
"Hatiora_salicornioides",-48.166389,-24.934722
"Hatiora_salicornioides",-41.991389,-21.943333
"Hatiora_salicornioides",-44.7131,-23.2178
"Hatiora_salicornioides",-44.0244,-20.4078
"Hatiora_salicornioides",-46.1883,-23.5228
"Hatiora_salicornioides",-43.3503,-21.7642
"Hatiora_salicornioides",-43.0406,-22.6528
"Hatiora_salicornioides",-47.936111,-24.168333
"Hatiora_salicornioides",-39.48,-13.69
"Hatiora_salicornioides",-41.8472,-20.4197
"Hatiora_salicornioides",-39.783333,-13.6
"Hatiora_salicornioides",-51.935631,-23.408519
"Hatiora_salicornioides",-46.7324,-23.6752
"Hatiora_salicornioides",-46.6361,-23.5475
"Hatiora_salicornioides",-46.640833,-23.448889
"Hatiora_salicornioides",-44.6425,-21.4875
"Hatiora_salicornioides",-46.31666667,-23.78333333
"Hatiora_salicornioides",-41.4703,-20.3642
"Hatiora_salicornioides",-41.466667,-12.45
"Hatiora_salicornioides",-43.4153,-19.9594
"Hatiora_salicornioides",-44.1911,-21.9472
"Hatiora_salicornioides",-49.305147,-25.417946
"Hatiora_salicornioides",-49.46479,-25.684961
"Hatiora_salicornioides",-46.623889,-23.01
"Hatiora_salicornioides",-43.425,-19.0372
"Hatiora_salicornioides",-49.635363,-25.453826
"Hatiora_salicornioides",-49.912969,-25.578059
"Hatiora_salicornioides",-42.57639,-22.35944
"Hatiora_salicornioides",-49.219497,-25.435923
"Hatiora_salicornioides",-46.933333,-23.816667
"Hatiora_salicornioides",-42.6572,-20.84
"Hatiora_salicornioides",-43.8275,-22.08972
"Hatiora_salicornioides",-44.524722,-22.333889
"Hatiora_salicornioides",-49.32217,-25.475137
"Hatiora_salicornioides",-49.343008,-25.428106
"Hatiora_salicornioides",-49.419007,-25.835085
"Hatiora_salicornioides",-43.7931,-21.8425
"Hatiora_salicornioides",-50.534167,-24.336944
"Hatiora_salicornioides",-49.260727,-25.489984
"Hatiora_salicornioides",-43.8014,-20.2533
"Hatiora_salicornioides",-41.203889,-21.009167
"Hatiora_salicornioides",-42.5244,-20.8761
"Hatiora_salicornioides",-49.6356,-25.5839
"Hatiora_salicornioides",-44.6,-22.4333
"Hatiora_salicornioides",-47.971556,-24.063889
"Hatiora_salicornioides",-49.7058,-24.2511
"Hatiora_salicornioides",-44.3947,-22.1675
"Hatiora_salicornioides",-44.781667,-22.455556
"Hatiora_salicornioides",-50.002322,-25.252682
"Hatiora_salicornioides",-50.8589,-25.0108
"Hatiora_salicornioides",-43.72944,-18.95111
"Hatiora_salicornioides",-42.8833333,-22.5
"Hatiora_salicornioides",-42.9675,-21.4597
"Hatiora_salicornioides",-44.9856,-21.7231
"Hatiora_salicornioides",-45.8464,-23.5322
"Hatiora_salicornioides",-46.5503,-23.1169
"Hatiora_salicornioides",-44.9242,-22.4394
"Hatiora_salicornioides",-44.6031,-21.9756
"Hatiora_salicornioides",-43.4075,-20.0747
"Hatiora_salicornioides",-46.616592,-23.639894
"Hatiora_salicornioides",-49.403889,-24.202222
"Hatiora_salicornioides",-49.26025,-25.36165
"Hatiora_salicornioides",-49.012214,-25.528984
"Hatiora_salicornioides",-40.553056,-19.9075
"Hatiora_salicornioides",-42.35,-20.71667
"Hatiora_salicornioides",-49.2731,-25.4278
"Hatiora_salicornioides",-48.3653,-24.0992
"Hatiora_salicornioides",-50.709176,-24.13017
"Hatiora_salicornioides",-46.524444,-23.358056
"Hatiora_salicornioides",-44.56,-22.5
"Hatiora_salicornioides",-41.555833,-20.938611
"Hatiora_salicornioides",-42.3789,-20.5825
"Hatiora_salicornioides",-39.565278,-15.391667
"Hatiora_salicornioides",-42.4808,-20.7219
"Hatiora_salicornioides",-40.617778,-19.931111
"Hatiora_salicornioides",-40.543611,-19.956667
"Hatiora_salicornioides",-43.7144,-19.1689
"Hatiora_salicornioides",-41.39,-12.5631
"Hatiora_salicornioides",-43.46667,-22.45
"Hatiora_salicornioides",-45.5914,-22.7394
"Hatiora_salicornioides",-49.4636,-24.1128
"Hatiora_salicornioides",-50.3828,-25.8742
"Hatiora_salicornioides",-42.83333,-22.43333
"Hatiora_salicornioides",-51.0972,-23.7233
"Hatiora_salicornioides",-49.9975,-25.252778
"Hatiora_salicornioides",-43.7894,-20.0875
"Hatiora_salicornioides",-43.4686111,-22.5702778
"Hatiora_salicornioides",-49.277089,-25.661593
"Hatiora_salicornioides",-49,-24.5
"Hatiora_salicornioides",-46.866667,-23.183333
