"lon","lat"
-49.499444,-28.260278
-41.3458,-20.9517
-48.800209,-25.378213
-47.2225,-23.6564
-47.55,-24.15
-47.216667,-24.05
-41.5331,-20.7636
-50.6156,-24.3239
-41.550556,-20.939444
-42.45,-22.35
-44.0833333,-22.9833333
-47.916667,-24.166667
-39.71667,-13.56667
-41.0069,-20.6714
-47.0608,-22.9056
-49.501667,-27.36
-41.1016667,-20.5269445
-40.5375,-20.319444
-46.3336,-23.9608
-44.359056,-22.792278
-48.3297223,-25.3066667
-39.0753,-15.2933
-48.96,-27.54
-46.1883,-23.5228
-48.600791,-26.176814
-48.415,-24.962222
-48.166389,-24.934722
-49.71,-24.25
-48.66,-26.91
-41.1347,-20.3397
-39.53,-14.76
-40.04,-16.38778
-49.2731,-25.4278
-43.0013889,-22.4513889
-39.4953,-15.1914
-42.0186,-22.8794
-40.92583,-20.50083
-49.153889,-26.300556
-49.7,-29.1361
-48.855,-26.0267
-49.6792,-28.9261
-41.61232,-21.79094
-48.9383334,-26.8102777
-49.0769,-25.3656
-42.3166667,-22.5
-42.5,-22.4666667
-45.42388889,-23.62555556
-43.1235,-22.536
