"sp","lon","lat"
"Peperomia_tetraphylla",-49.343008,-25.428106
"Peperomia_tetraphylla",-53.2917,-23.3808
"Peperomia_tetraphylla",-50.310002,-26.730093
"Peperomia_tetraphylla",-48.8344,-25.4769
"Peperomia_tetraphylla",-49.7058,-24.2511
"Peperomia_tetraphylla",-50.9778,-25.2131
"Peperomia_tetraphylla",-49.156269,-25.404914
"Peperomia_tetraphylla",-51.4606,-27.6717
"Peperomia_tetraphylla",-44.85,-22.66
"Peperomia_tetraphylla",-50.0064,-25.4294
"Peperomia_tetraphylla",-40.530278,-19.971389
"Peperomia_tetraphylla",-45.4131,-23.6203
"Peperomia_tetraphylla",-49.585,-26.7275
"Peperomia_tetraphylla",-51.136667,-27.690833
"Peperomia_tetraphylla",-48.960833,-27.809722
"Peperomia_tetraphylla",-52.3831,-24.04556
"Peperomia_tetraphylla",-50.579514,-27.901381
"Peperomia_tetraphylla",-40.1944,-20.1128
"Peperomia_tetraphylla",-51.525,-27.540278
"Peperomia_tetraphylla",-50.41,-24.51
"Peperomia_tetraphylla",-51.1472,-29.7603
"Peperomia_tetraphylla",-40.780556,-20.067222
"Peperomia_tetraphylla",-41.8683,-20.4333
"Peperomia_tetraphylla",-43.5448,-21.4155
"Peperomia_tetraphylla",-53.4,-27.1
"Peperomia_tetraphylla",-41.7666667,-13.5333333
"Peperomia_tetraphylla",-51.22,-27.4
"Peperomia_tetraphylla",-46.5503,-23.1169
"Peperomia_tetraphylla",-51.09,-26.23
"Peperomia_tetraphylla",-41.10167,-20.52694
"Peperomia_tetraphylla",-49.62,-29.11
"Peperomia_tetraphylla",-41.839472,-20.41
"Peperomia_tetraphylla",-44.61139,-22.44028
"Peperomia_tetraphylla",-49.1989,-25.9281
"Peperomia_tetraphylla",-49.26025,-25.36165
"Peperomia_tetraphylla",-48.4,-24.3
"Peperomia_tetraphylla",-48.1081,-24.52
"Peperomia_tetraphylla",-53.9922,-28.5169
"Peperomia_tetraphylla",-50.39,-26.18
"Peperomia_tetraphylla",-50.709176,-24.13017
"Peperomia_tetraphylla",-51.118895,-26.731857
"Peperomia_tetraphylla",-41.471111,-12.457778
"Peperomia_tetraphylla",-49.9975,-25.252778
"Peperomia_tetraphylla",-53.991776,-26.519551
"Peperomia_tetraphylla",-50.03667,-27.09139
"Peperomia_tetraphylla",-52.2,-26.46
"Peperomia_tetraphylla",-45.8558,-22.6589
"Peperomia_tetraphylla",-49.981568,-28.47165
"Peperomia_tetraphylla",-51.03268,-26.909121
"Peperomia_tetraphylla",-50.431523,-25.907756
"Peperomia_tetraphylla",-44.7328,-22.142
"Peperomia_tetraphylla",-45.464444,-22.691667
"Peperomia_tetraphylla",-50.591667,-24.35
"Peperomia_tetraphylla",-51.1628,-23.3103
"Peperomia_tetraphylla",-39.6372,-14.7053
"Peperomia_tetraphylla",-54.119508,-26.629933
"Peperomia_tetraphylla",-50.129447,-27.000294
"Peperomia_tetraphylla",-49.410176,-25.600388
"Peperomia_tetraphylla",-49.115,-25.2061
"Peperomia_tetraphylla",-48.7498,-22.776364
"Peperomia_tetraphylla",-50.5197,-29.8175
"Peperomia_tetraphylla",-48.5047,-24.7564
"Peperomia_tetraphylla",-54.5881,-25.5478
"Peperomia_tetraphylla",-40.55,-19.9
"Peperomia_tetraphylla",-49.862028,-28.169122
"Peperomia_tetraphylla",-52.4,-26.88
"Peperomia_tetraphylla",-50.6928,-25.6206
"Peperomia_tetraphylla",-50.110522,-29.314589
"Peperomia_tetraphylla",-45.59,-22.73
"Peperomia_tetraphylla",-49.4858,-28.9347
"Peperomia_tetraphylla",-44.618789,-22.755033
"Peperomia_tetraphylla",-48.1272,-22.7894
"Peperomia_tetraphylla",-50.8358,-26.0397
"Peperomia_tetraphylla",-43.01611,-22.455
"Peperomia_tetraphylla",-48.540556,-22.836667
"Peperomia_tetraphylla",-35.7833,-8.2
"Peperomia_tetraphylla",-49.8889,-29.5514
"Peperomia_tetraphylla",-51.15,-23.883333
"Peperomia_tetraphylla",-51.01,-26.78
"Peperomia_tetraphylla",-43.2075,-22.9028
"Peperomia_tetraphylla",-49.9880555,-29.0786111
"Peperomia_tetraphylla",-42.44466,-20.6795
"Peperomia_tetraphylla",-42.6531,-22.4625
"Peperomia_tetraphylla",-50.683333,-24.033333
"Peperomia_tetraphylla",-42.505,-22.43639
"Peperomia_tetraphylla",-48.166389,-24.934722
"Peperomia_tetraphylla",-49.46479,-25.684961
"Peperomia_tetraphylla",-51.23,-30.0331
"Peperomia_tetraphylla",-45.964722,-22.898333
"Peperomia_tetraphylla",-40.683611,-19.931111
"Peperomia_tetraphylla",-50.6125,-29.461944
"Peperomia_tetraphylla",-51.930278,-26.64
"Peperomia_tetraphylla",-40.814722,-19.897778
"Peperomia_tetraphylla",-51.61,-28.7839
"Peperomia_tetraphylla",-52.7864,-28.2839
"Peperomia_tetraphylla",-44.6419,-22.1706
"Peperomia_tetraphylla",-50.495598,-26.27881
"Peperomia_tetraphylla",-50.8,-26.24
"Peperomia_tetraphylla",-50.578672,-27.632026
"Peperomia_tetraphylla",-50.054883,-25.034392
"Peperomia_tetraphylla",-43.90806,-18.5
"Peperomia_tetraphylla",-41.462222,-20.903611
"Peperomia_tetraphylla",-51.325,-30.1139
"Peperomia_tetraphylla",-51.8625,-24.9392
"Peperomia_tetraphylla",-41.7869,-22.3708
"Peperomia_tetraphylla",-49.32217,-25.475137
"Peperomia_tetraphylla",-50.002322,-25.252682
"Peperomia_tetraphylla",-45.88617778,-21.50329444
"Peperomia_tetraphylla",-46.7981,-21.9692
"Peperomia_tetraphylla",-49.86,-27.54
"Peperomia_tetraphylla",-49.07,-26.92
"Peperomia_tetraphylla",-50.1619,-25.095
"Peperomia_tetraphylla",-44.618181,-22.734272
"Peperomia_tetraphylla",-50.2428,-24.2458
"Peperomia_tetraphylla",-41.4666667,-12.9666667
"Peperomia_tetraphylla",-49.1439,-24.3178
"Peperomia_tetraphylla",-44.3233,-22.6836
"Peperomia_tetraphylla",-43.87404,-21.7086
"Peperomia_tetraphylla",-41.553333,-20.936667
"Peperomia_tetraphylla",-49.52,-27.06
"Peperomia_tetraphylla",-50.131912,-26.731652
"Peperomia_tetraphylla",-51.2472,-27.1047
"Peperomia_tetraphylla",-39.56528,-15.39167
"Peperomia_tetraphylla",-49.2731,-25.4278
"Peperomia_tetraphylla",-50.5842,-25.0239
"Peperomia_tetraphylla",-51.244324,-23.445244
"Peperomia_tetraphylla",-41.738194,-20.445028
"Peperomia_tetraphylla",-49.07,-26.49
"Peperomia_tetraphylla",-43.9333,-21.85
"Peperomia_tetraphylla",-49.067222,-24.052778
"Peperomia_tetraphylla",-49.2611,-24.8236
"Peperomia_tetraphylla",-52.489916,-32.618847
"Peperomia_tetraphylla",-51.08,-26.24
"Peperomia_tetraphylla",-50.130436,-28.169917
"Peperomia_tetraphylla",-42.5022222,-22.3638889
"Peperomia_tetraphylla",-49.228674,-26.098843
"Peperomia_tetraphylla",-50.416667,-28.668056
"Peperomia_tetraphylla",-54.2631,-28.2992
"Peperomia_tetraphylla",-48.9911,-24.6572
"Peperomia_tetraphylla",-49.26539,-25.38622
"Peperomia_tetraphylla",-46.6361,-23.5475
"Peperomia_tetraphylla",-49.137222,-23.844444
"Peperomia_tetraphylla",-43.87246,-21.70193
"Peperomia_tetraphylla",-48.63,-27.62
"Peperomia_tetraphylla",-49.277089,-25.661593
"Peperomia_tetraphylla",-40.551,-19.34825
"Peperomia_tetraphylla",-49.589444,-26.998056
"Peperomia_tetraphylla",-40.5405555,-20.2783334
"Peperomia_tetraphylla",-51.61,-27.34
"Peperomia_tetraphylla",-53.325,-23.7664
"Peperomia_tetraphylla",-50.866667,-29.366667
"Peperomia_tetraphylla",-49.012214,-25.528984
"Peperomia_tetraphylla",-47.995389,-24.057611
"Peperomia_tetraphylla",-49.3317,-24.1125
"Peperomia_tetraphylla",-50.4,-26.64
"Peperomia_tetraphylla",-49.757112,-29.35781
"Peperomia_tetraphylla",-49.406667,-28.080278
"Peperomia_tetraphylla",-52.4067,-28.2628
"Peperomia_tetraphylla",-44.7443,-22.1225
"Peperomia_tetraphylla",-44.6225,-22.3358333
"Peperomia_tetraphylla",-41.4131,-20.4642
"Peperomia_tetraphylla",-44.2672,-17.6983
"Peperomia_tetraphylla",-42.5,-22.55
"Peperomia_tetraphylla",-41.916667,-13.25
"Peperomia_tetraphylla",-52.225112,-28.049454
"Peperomia_tetraphylla",-49.697222,-22.403333
"Peperomia_tetraphylla",-41.91417,-21.87361
"Peperomia_tetraphylla",-49.4,-28.39
"Peperomia_tetraphylla",-42.99306,-22.45778
"Peperomia_tetraphylla",-49.5528,-22.2914
"Peperomia_tetraphylla",-48.1267,-22.2842
"Peperomia_tetraphylla",-51.0789,-25.5711
"Peperomia_tetraphylla",-50.174444,-29.471389
"Peperomia_tetraphylla",-44.97,-22.39
"Peperomia_tetraphylla",-48.5747,-25.8828
"Peperomia_tetraphylla",-51.4244,-23.4194
"Peperomia_tetraphylla",-49.885,-27.9075
"Peperomia_tetraphylla",-48.988824,-25.718658
"Peperomia_tetraphylla",-43.88374,-21.70188
"Peperomia_tetraphylla",-41.209722,-21.006944
"Peperomia_tetraphylla",-49.36,-27.39
"Peperomia_tetraphylla",-52.5258,-25.4906
"Peperomia_tetraphylla",-43.4075,-20.0747
"Peperomia_tetraphylla",-42.5609,-21.2276
"Peperomia_tetraphylla",-49.77056,-27.09028
"Peperomia_tetraphylla",-49.153889,-26.300556
"Peperomia_tetraphylla",-50.8156,-29.3656
"Peperomia_tetraphylla",-49.3786111,-26.2505556
"Peperomia_tetraphylla",-40.553889,-19.836389
"Peperomia_tetraphylla",-51.8122,-30.8511
"Peperomia_tetraphylla",-49.27,-26.82
"Peperomia_tetraphylla",-49.519503,-25.598863
"Peperomia_tetraphylla",-52.18,-25.94
"Peperomia_tetraphylla",-41.473056,-20.3458
"Peperomia_tetraphylla",-51.073625,-30.094161
"Peperomia_tetraphylla",-50.388865,-29.422903
"Peperomia_tetraphylla",-51.4081,-28.9903
"Peperomia_tetraphylla",-41.9,-13.39
"Peperomia_tetraphylla",-43.8628,-22.0129
"Peperomia_tetraphylla",-52.3425,-31.7719
"Peperomia_tetraphylla",-52.0558,-25.5722
"Peperomia_tetraphylla",-43.6702778,-18.6613889
"Peperomia_tetraphylla",-49.570547,-25.604126
"Peperomia_tetraphylla",-49.64,-27.21
"Peperomia_tetraphylla",-43.1786,-22.505
"Peperomia_tetraphylla",-53.301667,-26.432778
"Peperomia_tetraphylla",-50.389234,-29.405985
"Peperomia_tetraphylla",-49.590464,-27.900417
"Peperomia_tetraphylla",-40.633333,-19.915556
"Peperomia_tetraphylla",-51.116944,-27.716667
"Peperomia_tetraphylla",-43.4511,-22.7592
"Peperomia_tetraphylla",-47.938339,-23.155683
"Peperomia_tetraphylla",-49.260727,-25.489984
"Peperomia_tetraphylla",-48.870414,-25.596849
"Peperomia_tetraphylla",-50.7369,-25.3561
"Peperomia_tetraphylla",-51.9064,-27.4617
"Peperomia_tetraphylla",-49.17,-28.28
"Peperomia_tetraphylla",-50.33,-27.82
"Peperomia_tetraphylla",-49.0633,-25.4417
"Peperomia_tetraphylla",-51.4581,-25.3953
"Peperomia_tetraphylla",-49.083333,-27.048333
"Peperomia_tetraphylla",-50.5836,-29.4481
"Peperomia_tetraphylla",-49.83173,-28.471217
"Peperomia_tetraphylla",-49.135,-26.822778
"Peperomia_tetraphylla",-40.4067,-19.9325
"Peperomia_tetraphylla",-50.85,-24.65
"Peperomia_tetraphylla",-49.7158,-25.7697
"Peperomia_tetraphylla",-52.4161,-25.4078
"Peperomia_tetraphylla",-49.77,-28.71
"Peperomia_tetraphylla",-52.20153,-28.299454
"Peperomia_tetraphylla",-50.9022,-29.5825
"Peperomia_tetraphylla",-50.1444,-26.3703
"Peperomia_tetraphylla",-48.981299,-25.497056
"Peperomia_tetraphylla",-50.130833,-27.180278
"Peperomia_tetraphylla",-49.298889,-28.285278
"Peperomia_tetraphylla",-52.4708,-26.3958
"Peperomia_tetraphylla",-44.66667,-22.41667
"Peperomia_tetraphylla",-52.330139,-24.102028
"Peperomia_tetraphylla",-41.019167,-20.403889
"Peperomia_tetraphylla",-44.5778,-22.645
"Peperomia_tetraphylla",-53.7583,-27.3711
"Peperomia_tetraphylla",-51.5558,-27.26
"Peperomia_tetraphylla",-40.8556,-19.8019
"Peperomia_tetraphylla",-51.4728,-28.7572
"Peperomia_tetraphylla",-52.31,-27.15
"Peperomia_tetraphylla",-53.100583,-25.691444
"Peperomia_tetraphylla",-40.7497,-20.635
"Peperomia_tetraphylla",-50.003633,-29.623934
"Peperomia_tetraphylla",-44.9853,-21.7222
"Peperomia_tetraphylla",-52.8761,-23.8706
"Peperomia_tetraphylla",-41.916667,-13.1
"Peperomia_tetraphylla",-42.9656,-22.4122
"Peperomia_tetraphylla",-49.0477777,-26.1925
"Peperomia_tetraphylla",-49.317911,-28.30578
"Peperomia_tetraphylla",-52.310944,-24.205694
"Peperomia_tetraphylla",-42.0081,-21.9553
"Peperomia_tetraphylla",-51.6597,-25.6956
"Peperomia_tetraphylla",-49.58861,-26.91194
"Peperomia_tetraphylla",-44.71,-23.22
"Peperomia_tetraphylla",-40.060806,-16.398389
"Peperomia_tetraphylla",-41.947222,-21.950833
"Peperomia_tetraphylla",-41.829722,-20.480694
"Peperomia_tetraphylla",-43.89967,-21.70931
"Peperomia_tetraphylla",-52.436111,-24.532611
"Peperomia_tetraphylla",-46.616592,-23.639894
"Peperomia_tetraphylla",-44.1781,-21.1103
"Peperomia_tetraphylla",-39.783333,-13.6
"Peperomia_tetraphylla",-48.66,-27.49
"Peperomia_tetraphylla",-49.98,-25.25
"Peperomia_tetraphylla",-42.0186,-22.8794
"Peperomia_tetraphylla",-48.415,-24.9625
"Peperomia_tetraphylla",-52.51583,-26.77361
"Peperomia_tetraphylla",-46.6572222,-21.8033333
"Peperomia_tetraphylla",-49.635363,-25.453826
"Peperomia_tetraphylla",-48.447222,-24.274167
"Peperomia_tetraphylla",-48.96,-27.54
"Peperomia_tetraphylla",-43.3503,-21.7642
"Peperomia_tetraphylla",-49.2242,-25.2917
"Peperomia_tetraphylla",-40.548056,-20.058333
"Peperomia_tetraphylla",-39.803889,-18.263889
"Peperomia_tetraphylla",-51.55,-26.16
