"sp","lon","lat"
"Pleiochiton_blepharodes",-40.36,-19.5609
"Pleiochiton_blepharodes",-43.0013889,-22.4513889
"Pleiochiton_blepharodes",-49.14,-27.27
"Pleiochiton_blepharodes",-49.0633,-25.4417
"Pleiochiton_blepharodes",-48.5092,-25.52
"Pleiochiton_blepharodes",-47.929167,-25.077222
"Pleiochiton_blepharodes",-48.6161,-26.1169
"Pleiochiton_blepharodes",-45.618333,-23.692222
"Pleiochiton_blepharodes",-49.139722,-26.368056
"Pleiochiton_blepharodes",-44.7131,-23.2178
"Pleiochiton_blepharodes",-43.4791667,-22.57
"Pleiochiton_blepharodes",-41.08361,-20.51611
"Pleiochiton_blepharodes",-39.33,-15.16
"Pleiochiton_blepharodes",-39.4144,-15.2633
"Pleiochiton_blepharodes",-46.7744,-23.9
"Pleiochiton_blepharodes",-49.118056,-27.006944
"Pleiochiton_blepharodes",-49.047789,-26.192511
"Pleiochiton_blepharodes",-51.183611,-29.918056
"Pleiochiton_blepharodes",-48.7401,-25.4311
"Pleiochiton_blepharodes",-48.68194444,-24.55138889
"Pleiochiton_blepharodes",-48.689444,-27.540278
"Pleiochiton_blepharodes",-46.15,-23.85
"Pleiochiton_blepharodes",-43.2075,-22.9028
"Pleiochiton_blepharodes",-43.3013889,-22.4925
"Pleiochiton_blepharodes",-44.45,-22.8
"Pleiochiton_blepharodes",-45.12055556,-23.38944444
"Pleiochiton_blepharodes",-39.4958,-15.4192
"Pleiochiton_blepharodes",-46.4133,-23.7106
"Pleiochiton_blepharodes",-43.58167,-22.54722
"Pleiochiton_blepharodes",-40.553889,-19.836389
"Pleiochiton_blepharodes",-48.5048,-24.7565
"Pleiochiton_blepharodes",-48.68889,-26.5525
"Pleiochiton_blepharodes",-47.5,-22.0331
"Pleiochiton_blepharodes",-41.5331,-20.7636
"Pleiochiton_blepharodes",-45.4097,-23.76
"Pleiochiton_blepharodes",-44.81666667,-23.33333333
"Pleiochiton_blepharodes",-43.8278,-22.0892
"Pleiochiton_blepharodes",-40.8556,-19.8019
"Pleiochiton_blepharodes",-49.235589,-26.365003
"Pleiochiton_blepharodes",-49.154444,-26.3
"Pleiochiton_blepharodes",-41.133333,-20.3
"Pleiochiton_blepharodes",-38.9967,-14.2775
"Pleiochiton_blepharodes",-47.866667,-24.666667
"Pleiochiton_blepharodes",-40.593889,-19.973333
"Pleiochiton_blepharodes",-48.7789,-22.1931
"Pleiochiton_blepharodes",-46.5383,-23.6639
"Pleiochiton_blepharodes",-48.7786,-27.6881
"Pleiochiton_blepharodes",-48.864167,-27.531944
"Pleiochiton_blepharodes",-41.2439,-20.3683
"Pleiochiton_blepharodes",-48.400278,-24.6525
"Pleiochiton_blepharodes",-48.600791,-26.176814
"Pleiochiton_blepharodes",-48.727225,-26.055025
"Pleiochiton_blepharodes",-40.583333,-19.984167
"Pleiochiton_blepharodes",-48.336076,-25.509754
"Pleiochiton_blepharodes",-46.7402,-23.9868
"Pleiochiton_blepharodes",-49.087778,-27.056667
"Pleiochiton_blepharodes",-49.2656,-26.1925
"Pleiochiton_blepharodes",-44.7286,-22.1428
"Pleiochiton_blepharodes",-48.800209,-25.378213
"Pleiochiton_blepharodes",-48.29724,-25.179626
"Pleiochiton_blepharodes",-48.65,-26.15
"Pleiochiton_blepharodes",-46.1883,-23.5228
"Pleiochiton_blepharodes",-47.503889,-24.003889
"Pleiochiton_blepharodes",-48.35,-24.283333
"Pleiochiton_blepharodes",-44.8381,-23.3769
"Pleiochiton_blepharodes",-49.139353,-27.097017
"Pleiochiton_blepharodes",-48.93,-26.72
"Pleiochiton_blepharodes",-48.69,-26.1
"Pleiochiton_blepharodes",-46.4028,-24.0058
"Pleiochiton_blepharodes",-42.0336,-20.2581
"Pleiochiton_blepharodes",-48.761964,-27.878889
"Pleiochiton_blepharodes",-48.7,-24.5333333
"Pleiochiton_blepharodes",-45.708056,-23.711944
"Pleiochiton_blepharodes",-43.0333333,-22.5833333
"Pleiochiton_blepharodes",-48.469444,-24.6175
"Pleiochiton_blepharodes",-47.995278,-24.0575
"Pleiochiton_blepharodes",-49.393611,-27.180278
"Pleiochiton_blepharodes",-40.530278,-19.971389
"Pleiochiton_blepharodes",-40.6003,-19.9356
"Pleiochiton_blepharodes",-41.7336111,-20.4947222
"Pleiochiton_blepharodes",-48.920598,-25.440958
"Pleiochiton_blepharodes",-49.72,-25.77
"Pleiochiton_blepharodes",-45.86666667,-23.63333333
"Pleiochiton_blepharodes",-47.966667,-24.133333
"Pleiochiton_blepharodes",-48.9911,-24.6572
