"sp","lon","lat"
"Rhipsalis_elliptica",-42.505,-22.4361111
"Rhipsalis_elliptica",-48.870414,-25.596849
"Rhipsalis_elliptica",-39.08,-15.29
"Rhipsalis_elliptica",-43.90639,-21.70444
"Rhipsalis_elliptica",-46.5383,-23.6639
"Rhipsalis_elliptica",-48.83,-26.9
"Rhipsalis_elliptica",-45.8869,-23.1794
"Rhipsalis_elliptica",-39.533333,-12.75
"Rhipsalis_elliptica",-49.118056,-27.006944
"Rhipsalis_elliptica",-41.708438,-20.893325
"Rhipsalis_elliptica",-42.0278,-22.9661
"Rhipsalis_elliptica",-44.6189,-22.4283
"Rhipsalis_elliptica",-43.9333,-22.0167
"Rhipsalis_elliptica",-44.619167,-22.345
"Rhipsalis_elliptica",-44.1911,-21.9472
"Rhipsalis_elliptica",-40.525,-20.2677778
"Rhipsalis_elliptica",-48.3289,-25.3067
"Rhipsalis_elliptica",-39.4958,-15.4192
"Rhipsalis_elliptica",-49.083333,-27.048333
"Rhipsalis_elliptica",-44.536944,-22.333333
"Rhipsalis_elliptica",-40.069308,-19.18495
"Rhipsalis_elliptica",-41.817778,-20.491667
"Rhipsalis_elliptica",-48.265,-24.1627
"Rhipsalis_elliptica",-42.987009,-22.449717
"Rhipsalis_elliptica",-48.7401,-25.4311
"Rhipsalis_elliptica",-47.936111,-24.168333
"Rhipsalis_elliptica",-43.023422,-22.456797
"Rhipsalis_elliptica",-42.5214,-20.8772
"Rhipsalis_elliptica",-49.0553,-25.3056
"Rhipsalis_elliptica",-42.456389,-20.725833
"Rhipsalis_elliptica",-42.955,-21.431667
"Rhipsalis_elliptica",-46.633333,-23.420833
"Rhipsalis_elliptica",-48.296759,-25.548026
"Rhipsalis_elliptica",-43.4511,-22.7592
"Rhipsalis_elliptica",-40.0722,-19.3911
"Rhipsalis_elliptica",-44.3181,-23.0067
"Rhipsalis_elliptica",-40.2925,-20.3297
"Rhipsalis_elliptica",-42.5609,-21.2276
"Rhipsalis_elliptica",-41.1128,-20.8489
"Rhipsalis_elliptica",-49.530436,-27.135817
"Rhipsalis_elliptica",-39.7419,-17.535
"Rhipsalis_elliptica",-48.0442,-24.1408
"Rhipsalis_elliptica",-46.6361,-23.5475
"Rhipsalis_elliptica",-45.3581,-23.7781
"Rhipsalis_elliptica",-48.318042,-25.52501
"Rhipsalis_elliptica",-41.5331,-20.7636
"Rhipsalis_elliptica",-44.833333,-23.333333
"Rhipsalis_elliptica",-44.190371,-23.182215
"Rhipsalis_elliptica",-48.6836,-27.9617
"Rhipsalis_elliptica",-48.166389,-24.934722
"Rhipsalis_elliptica",-44.626667,-22.430833
"Rhipsalis_elliptica",-48.96,-27.54
"Rhipsalis_elliptica",-48.6381,-26.2433
"Rhipsalis_elliptica",-47.0194445,-24.4002778
"Rhipsalis_elliptica",-50.129447,-27.000294
"Rhipsalis_elliptica",-43.24667,-22.41278
"Rhipsalis_elliptica",-49.154444,-26.3
"Rhipsalis_elliptica",-50.2475,-23.4367
"Rhipsalis_elliptica",-49.047789,-26.192511
"Rhipsalis_elliptica",-48.5092,-25.52
"Rhipsalis_elliptica",-41.84417,-20.41972
"Rhipsalis_elliptica",-40.286652,-20.329207
"Rhipsalis_elliptica",-48.920598,-25.440958
"Rhipsalis_elliptica",-47.966667,-24.133333
"Rhipsalis_elliptica",-47.6492,-22.7253
"Rhipsalis_elliptica",-44.0722,-21.8916
"Rhipsalis_elliptica",-41.736167,-20.445111
"Rhipsalis_elliptica",-49.52,-27.06
"Rhipsalis_elliptica",-43.44556,-22.95806
"Rhipsalis_elliptica",-47.7164,-23.8131
"Rhipsalis_elliptica",-48.336076,-25.509754
"Rhipsalis_elliptica",-46.31666667,-23.78333333
"Rhipsalis_elliptica",-48.447222,-24.274167
"Rhipsalis_elliptica",-42.4822,-20.7247
"Rhipsalis_elliptica",-44.5633,-22.4961
"Rhipsalis_elliptica",-43.425,-19.0372
"Rhipsalis_elliptica",-48.2958,-24.2018
"Rhipsalis_elliptica",-49.585,-26.7275
"Rhipsalis_elliptica",-47.876944,-24.675833
"Rhipsalis_elliptica",-49.115,-25.2061
"Rhipsalis_elliptica",-40.040278,-16.402222
