"lon","lat"
-41.5331,-20.7636
-48.870414,-25.596849
-48.973889,-26.77
-44.3181,-23.0067
-40.0722,-19.3911
-44.366111,-22.806389
-39.4958,-15.4192
-48.7401,-25.4311
-43.8278,-22.0892
-48.920598,-25.440958
-44.0722,-21.8916
-44.833333,-23.333333
-39.7419,-17.535
-44.1911,-21.9472
-40.040278,-16.402222
-48.6381,-26.2433
-43.9333,-21.85
-41.708438,-20.893325
-46.6361,-23.5475
-49.115,-25.2061
-49.047789,-26.192511
-43.4075,-20.0747
-50.2475,-23.4367
-48.5092,-25.52
-43.3333333,-22.8333333
-43.90639,-21.70444
-48.83,-26.9
-48.96,-27.54
-45.3581,-23.7781
-48.499444,-24.338333
-48.6836,-27.9617
-49.585,-26.7275
-48.85,-26.03
-45.8869,-23.1794
-42.505,-22.4361111
-46.536111,-23.363333
-43.425,-19.0372
-48.988824,-25.718658
-40.525,-20.2677778
-50.129447,-27.000294
-49.3638889,-27.3138889
-47.0194445,-24.4002778
-39.533333,-12.75
-49.083333,-27.048333
-48.417222,-24.931111
-41.1128,-20.8489
-43.023422,-22.456797
-48.2958,-24.2018
-40.2925,-20.3297
-43.4511,-22.7592
-46.5383,-23.6639
-48.296759,-25.548026
-48.127222,-24.991944
-40.069308,-19.18495
-39.08,-15.29
-47.0608,-22.9056
-42.955,-21.431667
-49.590003,-27.090008
-48.403611,-24.630556
-44.626667,-22.430833
-46.76666667,-23.90194444
-42.0278,-22.9661
-42.456389,-20.725833
-47.6492,-22.7253
-43.24667,-22.41278
-44.536944,-22.333333
-49.154444,-26.3
-47.7164,-23.8131
-42.5214,-20.8772
-42.25,-22.5
-42.5609,-21.2276
-43.44556,-22.95806
-47.876944,-24.675833
-47.5913,-24.0344
-49.58861,-26.91194
-46.31666667,-23.78333333
-48.3289,-25.3067
-41.817778,-20.491667
-43.8914,-21.9756
-48.0442,-24.1408
-44.190371,-23.182215
