"sp","lon","lat"
"Rhipsalis_lindbergiana",-39.187778,-12.166944
"Rhipsalis_lindbergiana",-52.1264,-25.3744
"Rhipsalis_lindbergiana",-43.3503,-21.7642
"Rhipsalis_lindbergiana",-43.182222,-21.655833
"Rhipsalis_lindbergiana",-42.9161,-21.9956
"Rhipsalis_lindbergiana",-40.6,-19.936111
"Rhipsalis_lindbergiana",-42.6431,-21.5319
"Rhipsalis_lindbergiana",-41.9072222,-22.4908333
"Rhipsalis_lindbergiana",-44.4467,-22.4689
"Rhipsalis_lindbergiana",-42.4769,-21.3744
"Rhipsalis_lindbergiana",-39.4953,-15.1914
"Rhipsalis_lindbergiana",-40.478333,-12.300833
