"sp","lon","lat"
"Rhipsalis_teres",-49.419007,-25.835085
"Rhipsalis_teres",-51.020164,-30.068206
"Rhipsalis_teres",-51.0936,-31.2872
"Rhipsalis_teres",-49.13917,-27.09694
"Rhipsalis_teres",-47.4581,-23.5017
"Rhipsalis_teres",-49.012214,-25.528984
"Rhipsalis_teres",-48.336076,-25.509754
"Rhipsalis_teres",-49.047789,-26.192511
"Rhipsalis_teres",-46.7286,-23.5656
"Rhipsalis_teres",-41.7361,-20.445
"Rhipsalis_teres",-47.936111,-24.168333
"Rhipsalis_teres",-49.570547,-25.604126
"Rhipsalis_teres",-46.623889,-23.01
"Rhipsalis_teres",-41.544167,-20.938611
"Rhipsalis_teres",-48.600791,-26.176814
"Rhipsalis_teres",-50.1,-29.5
"Rhipsalis_teres",-47.885,-24.608333
"Rhipsalis_teres",-48.981299,-25.497056
"Rhipsalis_teres",-49.305147,-25.417946
"Rhipsalis_teres",-39.06,-14.7889
"Rhipsalis_teres",-42.5,-22.4666667
"Rhipsalis_teres",-51.1364,-29.4442
"Rhipsalis_teres",-49.3967,-28.3928
"Rhipsalis_teres",-47.285297,-23.825694
"Rhipsalis_teres",-44.525556,-22.438611
"Rhipsalis_teres",-49.260727,-25.489984
"Rhipsalis_teres",-49.846111,-29.393611
"Rhipsalis_teres",-45.3954,-23.4627
"Rhipsalis_teres",-42.131667,-21.945278
"Rhipsalis_teres",-48.7222,-26.37
