"sp","lon","lat"
"Vriesea_carinata",-42.5,-22.4666667
"Vriesea_carinata",-45.3288,-22.5869
"Vriesea_carinata",-40.8167,-20.15
"Vriesea_carinata",-49.4092,-28.7092
"Vriesea_carinata",-48.87,-28.44
"Vriesea_carinata",-41.6025,-20.73
"Vriesea_carinata",-47.38,-24.0382
"Vriesea_carinata",-42.466667,-19.766667
"Vriesea_carinata",-48.9703,-28.1695
"Vriesea_carinata",-49.14,-27.0003
"Vriesea_carinata",-48.6252,-25.9031
"Vriesea_carinata",-48.0791667,-25.2875
"Vriesea_carinata",-49.23,-28.4403
"Vriesea_carinata",-48.7983,-25.0692
"Vriesea_carinata",-39.2039,-13.8208
"Vriesea_carinata",-47.090278,-23.975556
"Vriesea_carinata",-48.78,-27.99
"Vriesea_carinata",-48.60417,-24.34333
"Vriesea_carinata",-45.7081,-23.7119
"Vriesea_carinata",-48.62,-25.57
"Vriesea_carinata",-43.2855555,-22.4527778
"Vriesea_carinata",-49.86,-28.8
"Vriesea_carinata",-48.316041,-25.521936
"Vriesea_carinata",-41.7471,-20.4909
"Vriesea_carinata",-46.3166667,-23.7833333
"Vriesea_carinata",-49.5894,-26.9981
"Vriesea_carinata",-48.22861,-25.46222
"Vriesea_carinata",-44.58944,-22.36139
