"sp","lon","lat"
"Vriesea_carinata",-48.78,-27.99
"Vriesea_carinata",-39.0333,-15.1833
"Vriesea_carinata",-49.4119,-28.2597
"Vriesea_carinata",-49.4997,-28.35
"Vriesea_carinata",-49.0506,-27.3586
"Vriesea_carinata",-39.0753,-15.2933
"Vriesea_carinata",-49.2308,-27
"Vriesea_carinata",-49.1181,-27.0069
"Vriesea_carinata",-42.98916667,-22.45
"Vriesea_carinata",-48.0791667,-25.2875
"Vriesea_carinata",-48.083333,-24.233333
"Vriesea_carinata",-40.4778,-20.2725
"Vriesea_carinata",-49.4092,-28.7092
"Vriesea_carinata",-47.966667,-24.133333
"Vriesea_carinata",-49.2989,-28.2853
"Vriesea_carinata",-48.7619,-27.8789
"Vriesea_carinata",-45.20389,-23.45917
"Vriesea_carinata",-40.6836,-19.9311
"Vriesea_carinata",-48.870414,-25.596849
"Vriesea_carinata",-40.6161,-20.1019
"Vriesea_carinata",-49.8592,-26.7294
"Vriesea_carinata",-49.065,-25.8029
"Vriesea_carinata",-49.0494,-26.8197
"Vriesea_carinata",-40.8167,-20.15
"Vriesea_carinata",-46.616592,-23.639894
"Vriesea_carinata",-40.4059,-20.2447
"Vriesea_carinata",-50.0381,-27.0922
"Vriesea_carinata",-49.1369,-27.3606
"Vriesea_carinata",-40.55,-20.2667
"Vriesea_carinata",-49.7708,-27.2703
"Vriesea_carinata",-49.0478,-26.1925
"Vriesea_carinata",-40.7497,-20.635
"Vriesea_carinata",-48.5609,-27.1927
"Vriesea_carinata",-45.87978,-23.64847
"Vriesea_carinata",-49.4319,-28.69
"Vriesea_carinata",-48.336076,-25.509754
"Vriesea_carinata",-48.0442,-24.1408
"Vriesea_carinata",-49.14,-26.28
"Vriesea_carinata",-49.4986,-28.4436
"Vriesea_carinata",-48.8714,-27.7189
"Vriesea_carinata",-41.7471,-20.4909
"Vriesea_carinata",-48.600791,-26.176814
"Vriesea_carinata",-40.6741666,-20.3288889
"Vriesea_carinata",-48.80571,-25.82021
"Vriesea_carinata",-45.92561,-23.75593
"Vriesea_carinata",-48.8703,-28.1694
"Vriesea_carinata",-49.2308,-27.09
"Vriesea_carinata",-50.1308,-27.1803
"Vriesea_carinata",-48.316041,-25.521936
"Vriesea_carinata",-49.3936,-27.1803
"Vriesea_carinata",-47.92478,-25.07633
"Vriesea_carinata",-47.5599,-24.1653
"Vriesea_carinata",-48.0025,-24.0938889
"Vriesea_carinata",-41.209722,-21.006944
"Vriesea_carinata",-48.87,-28.08
"Vriesea_carinata",-40.55,-19.9
"Vriesea_carinata",-49.1369,-28.0806
"Vriesea_carinata",-49.49944,-28.26028
"Vriesea_carinata",-49.14,-27.27
"Vriesea_carinata",-48.9608,-27.7203
"Vriesea_carinata",-47.227598,-24.555261
"Vriesea_carinata",-49.846111,-29.393611
"Vriesea_carinata",-39.2039,-13.8208
"Vriesea_carinata",-48.87,-27.45
"Vriesea_carinata",-48.8911111,-27.4758333
"Vriesea_carinata",-49.7706,-27.0903
"Vriesea_carinata",-49.1711,-27.0111
"Vriesea_carinata",-49.2314,-27.1814
"Vriesea_carinata",-42.5,-22.4666667
"Vriesea_carinata",-47.84975,-24.802111
"Vriesea_carinata",-49.86,-28.89
"Vriesea_carinata",-48.69,-26.01
"Vriesea_carinata",-48.4088889,-24.0516667
"Vriesea_carinata",-41.1347,-20.3397
"Vriesea_carinata",-47.8417,-24.9056
"Vriesea_carinata",-50.2178,-27.1825
"Vriesea_carinata",-50.2194,-29.6058
"Vriesea_carinata",-48.9606,-27.3603
"Vriesea_carinata",-47.38,-24.0382
"Vriesea_carinata",-39.341667,-15.173611
"Vriesea_carinata",-48.403333,-24.636667
"Vriesea_carinata",-45.3223,-22.5743
"Vriesea_carinata",-49.23,-27.27
"Vriesea_carinata",-49.408889,-28.621944
"Vriesea_carinata",-48.58527,-25.78972
"Vriesea_carinata",-48.8777,-25.36288
"Vriesea_carinata",-48.29724,-25.179626
"Vriesea_carinata",-48.1053,-24.5548
"Vriesea_carinata",-41.3894,-20.6581
"Vriesea_carinata",-49.1236,-26.8931
"Vriesea_carinata",-48.9786,-25.95
"Vriesea_carinata",-48.5408333,-25.8041666
"Vriesea_carinata",-48.7983,-25.0692
"Vriesea_carinata",-50.0417,-27.2706
"Vriesea_carinata",-48.9608,-27.8097
"Vriesea_carinata",-41.4731,-20.3647
"Vriesea_carinata",-49.14,-27.0003
"Vriesea_carinata",-40.0561,-16.4052
"Vriesea_carinata",-40.5539,-19.8364
"Vriesea_carinata",-48.800209,-25.378213
"Vriesea_carinata",-49.71,-24.25
"Vriesea_carinata",-48.22861,-25.46222
"Vriesea_carinata",-48.4183333,-24.7836111
"Vriesea_carinata",-41.758,-20.491
"Vriesea_carinata",-48.6819,-25.3196
"Vriesea_carinata",-49.86,-28.8
"Vriesea_carinata",-49.0497,-27.54
"Vriesea_carinata",-48.9703,-28.1695
"Vriesea_carinata",-49.1539,-26.3006
"Vriesea_carinata",-48.6252,-25.9031
"Vriesea_carinata",-49.0489,-27.9892
"Vriesea_carinata",-48.7272,-26.055
"Vriesea_carinata",-48.8697,-28.1647
"Vriesea_carinata",-47.1372,-24.4272
"Vriesea_carinata",-45.15,-23.33852
"Vriesea_carinata",-42.466667,-19.766667
"Vriesea_carinata",-48.30548,-25.55088
"Vriesea_carinata",-48.9583,-28.1683
"Vriesea_carinata",-50.0228,-29.1789
"Vriesea_carinata",-48.69,-27.45
"Vriesea_carinata",-48.4786,-27.584
"Vriesea_carinata",-49.59,-28.62
"Vriesea_carinata",-49.1379,-26.8934
"Vriesea_carinata",-49.4994,-28.7108
"Vriesea_carinata",-50.1481,-27.0256
"Vriesea_carinata",-49.8606,-26.6403
"Vriesea_carinata",-49.9453,-29.0453
"Vriesea_carinata",-48.9431,-25.8819
"Vriesea_carinata",-49.2308,-27.9897
"Vriesea_carinata",-49.41,-26.55
"Vriesea_carinata",-46.6333,-23.4208
"Vriesea_carinata",-43.2855555,-22.4527778
"Vriesea_carinata",-48.96,-27.4497
"Vriesea_carinata",-49.34418,-26.40201
"Vriesea_carinata",-44.6188,-22.755
"Vriesea_carinata",-48.60417,-24.34333
"Vriesea_carinata",-49.6039,-28.5494
"Vriesea_carinata",-50.29088,-29.69308
"Vriesea_carinata",-42.95,-22.45
"Vriesea_carinata",-46.3166667,-23.7833333
"Vriesea_carinata",-49.317911,-28.30578
"Vriesea_carinata",-49.23,-28.08
"Vriesea_carinata",-50.372222,-29.625556
"Vriesea_carinata",-46.7303,-23.8186
"Vriesea_carinata",-49.0706,-27.0042
"Vriesea_carinata",-48.8697,-27.99
"Vriesea_carinata",-41.0733,-20.4937
"Vriesea_carinata",-48.5141,-27.531
"Vriesea_carinata",-41.73611,-20.445
"Vriesea_carinata",-39.7119,-13.5667
"Vriesea_carinata",-40.9616667,-20.5980555
"Vriesea_carinata",-48.9101,-27.1266
"Vriesea_carinata",-49.083333,-27.048333
"Vriesea_carinata",-40.53333,-20.26667
"Vriesea_carinata",-49.5894,-26.9981
"Vriesea_carinata",-46.8244,-24.0411
"Vriesea_carinata",-48.9433,-26.8042
"Vriesea_carinata",-43.4702778,-22.5580556
"Vriesea_carinata",-44.175,-23.166667
"Vriesea_carinata",-45.7081,-23.7119
"Vriesea_carinata",-41.511389,-20.709722
"Vriesea_carinata",-50.0744,-29.205
"Vriesea_carinata",-44.6,-22.45
"Vriesea_carinata",-48.3848,-25.1774
"Vriesea_carinata",-48.69916,-24.53378
"Vriesea_carinata",-42.45,-22.35
"Vriesea_carinata",-48.6666667,-27.6666667
"Vriesea_carinata",-49.05,-27.45
"Vriesea_carinata",-50.23926,-29.5041
"Vriesea_carinata",-41.08361,-20.51611
"Vriesea_carinata",-41.553333,-20.935
"Vriesea_carinata",-48.42472,-24.31583
"Vriesea_carinata",-49.9525,-29.1594
"Vriesea_carinata",-45.07898,-23.3837
"Vriesea_carinata",-49.757112,-29.35781
"Vriesea_carinata",-49.0878,-27.0567
"Vriesea_carinata",-49.5031,-27.3608
"Vriesea_carinata",-48.78,-27.36
"Vriesea_carinata",-47.2167,-24.05
"Vriesea_carinata",-46.90861,-24.23861
"Vriesea_carinata",-49.2287,-26.2299
"Vriesea_carinata",-47.8825,-24.6083
"Vriesea_carinata",-48.78,-27.72
"Vriesea_carinata",-49.77,-28.71
"Vriesea_carinata",-47.3161,-24.0202
"Vriesea_carinata",-49.68,-28.7997
"Vriesea_carinata",-49.23,-28.4403
"Vriesea_carinata",-48.981299,-25.497056
"Vriesea_carinata",-49.3206,-27.1803
"Vriesea_carinata",-47.936111,-24.168333
"Vriesea_carinata",-49.02415,-26.18646
"Vriesea_carinata",-49.32,-27.09
"Vriesea_carinata",-48.2,-25.3333
"Vriesea_carinata",-39.06,-15.183333
"Vriesea_carinata",-49.0494,-27.09
"Vriesea_carinata",-39.7119,-13.5872
"Vriesea_carinata",-48.988824,-25.718658
"Vriesea_carinata",-46.7431,-23.9853
"Vriesea_carinata",-45.3288,-22.5869
"Vriesea_carinata",-46.935778,-23.230444
"Vriesea_carinata",-48.9855,-26.4463
"Vriesea_carinata",-49.585,-26.7275
"Vriesea_carinata",-39.7058,-13.5794
"Vriesea_carinata",-41.0192,-20.4039
"Vriesea_carinata",-47.644528,-24.180222
"Vriesea_carinata",-48.62,-25.57
"Vriesea_carinata",-40.5833,-19.9842
"Vriesea_carinata",-49.3206,-27
"Vriesea_carinata",-41.6025,-20.73
"Vriesea_carinata",-45.9331,-23.7283
"Vriesea_carinata",-42.99972222,-22.47444444
"Vriesea_carinata",-49.1392,-27.0969
"Vriesea_carinata",-48.871111,-26.819722
"Vriesea_carinata",-44.45,-22.47
"Vriesea_carinata",-45.12055556,-23.38944444
"Vriesea_carinata",-45.3706,-23.4132
"Vriesea_carinata",-40.9811,-19.7414
"Vriesea_carinata",-40.53418,-19.96685
"Vriesea_carinata",-48.9237,-25.43258
"Vriesea_carinata",-48.33,-25.28
"Vriesea_carinata",-44.5666667,-22.25
"Vriesea_carinata",-49.41,-27
"Vriesea_carinata",-40.91858,-20.17753
"Vriesea_carinata",-48.9807,-28.0716
"Vriesea_carinata",-48.7,-25.8833
"Vriesea_carinata",-49.3128,-26.3244
"Vriesea_carinata",-49.3222,-28.17
"Vriesea_carinata",-48.87,-28.44
"Vriesea_carinata",-49.0497,-28.1694
"Vriesea_carinata",-47.090278,-23.975556
"Vriesea_carinata",-46.6917,-23.8517
"Vriesea_carinata",-49.3919,-28.1894
"Vriesea_carinata",-49.0506,-26.2803
"Vriesea_carinata",-49.77,-26.8217
"Vriesea_carinata",-47.67167,-24.77556
"Vriesea_carinata",-47.9155556,-24.8263889
"Vriesea_carinata",-49.2356,-26.365
"Vriesea_carinata",-48.78,-28.08
"Vriesea_carinata",-49.4972,-28.5292
"Vriesea_carinata",-41.61232,-21.79094
"Vriesea_carinata",-48.166389,-24.934722
"Vriesea_carinata",-49.3706,-26.3178
"Vriesea_carinata",-46.7278,-23.8961
"Vriesea_carinata",-49.335,-26.4197
"Vriesea_carinata",-44.58944,-22.36139
"Vriesea_carinata",-47.8094,-24.64438
"Vriesea_carinata",-49.0519,-27.2686
