"sp","lon","lat"
"Vriesea_flammea",-48.6894,-27.5403
"Vriesea_flammea",-49.14,-27.27
"Vriesea_flammea",-48.87,-28.08
"Vriesea_flammea",-39.141247,-15.131935
"Vriesea_flammea",-49.23,-27.27
"Vriesea_flammea",-49.77,-28.71
"Vriesea_flammea",-49.0492,-28.2594
"Vriesea_flammea",-49.71,-24.25
"Vriesea_flammea",-48.3919,-24.6467
"Vriesea_flammea",-49.757112,-29.35781
"Vriesea_flammea",-39.4081,-15.2028
"Vriesea_flammea",-39.35139,-15.17278
"Vriesea_flammea",-49.86,-29.07
"Vriesea_flammea",-48.9339,-26.8033
"Vriesea_flammea",-49.4972,-28.5292
"Vriesea_flammea",-49.4994,-28.7108
"Vriesea_flammea",-39.526944,-15.155
"Vriesea_flammea",-49.1453,-26.3183
"Vriesea_flammea",-44.858333,-23.35
"Vriesea_flammea",-48.8711,-27.1819
"Vriesea_flammea",-40.604167,-19.780833
"Vriesea_flammea",-49.083333,-27.048333
"Vriesea_flammea",-49.59,-28.62
"Vriesea_flammea",-48.78,-27.36
"Vriesea_flammea",-49.4978,-26.9097
"Vriesea_flammea",-39.1667,-14.8
"Vriesea_flammea",-48.60417,-24.34333
"Vriesea_flammea",-48.87,-27.63
"Vriesea_flammea",-49.0878,-27.0567
"Vriesea_flammea",-49.4119,-28.2597
"Vriesea_flammea",-48.96,-26.19
"Vriesea_flammea",-49.0478,-26.1925
"Vriesea_flammea",-48.9619,-26.28
"Vriesea_flammea",-48.7272,-26.055
"Vriesea_flammea",-43.286389,-22.943611
"Vriesea_flammea",-49.2314,-27.1814
"Vriesea_flammea",-48.58583,-24.43417
"Vriesea_flammea",-49.41,-28.17
"Vriesea_flammea",-49.2356,-26.365
"Vriesea_flammea",-48.535,-27.7242
"Vriesea_flammea",-40.4961,-20.3903
"Vriesea_flammea",-39.2481,-15.2189
"Vriesea_flammea",-49.59,-27.09
"Vriesea_flammea",-49.3192,-28.2608
"Vriesea_flammea",-48.800209,-25.378213
"Vriesea_flammea",-49.525,-28.5111
"Vriesea_flammea",-48.6019,-27.1494
"Vriesea_flammea",-49.2119,-26.7628
"Vriesea_flammea",-49.1394,-27.0969
"Vriesea_flammea",-48.96,-27.54
"Vriesea_flammea",-48.166389,-24.934722
"Vriesea_flammea",-49.3206,-27.1803
"Vriesea_flammea",-48.8703,-27.5394
"Vriesea_flammea",-47.33333333,-24.36666667
"Vriesea_flammea",-48.8911111,-27.4758333
"Vriesea_flammea",-48.871111,-26.819722
"Vriesea_flammea",-49.411389,-26.910278
"Vriesea_flammea",-48.5526,-27.1875
"Vriesea_flammea",-49.4986,-28.4436
"Vriesea_flammea",-48.9778,-26.4489
"Vriesea_flammea",-35.853,-8.7166
"Vriesea_flammea",-49.844411,-29.489711
"Vriesea_flammea",-47.227598,-24.555261
"Vriesea_flammea",-48.586944,-27.901389
"Vriesea_flammea",-48.7,-26.6833
"Vriesea_flammea",-49.1181,-27.0069
"Vriesea_flammea",-49.05,-27.45
"Vriesea_flammea",-42.45,-22.35
"Vriesea_flammea",-49.4997,-28.35
"Vriesea_flammea",-47.929167,-25.077222
"Vriesea_flammea",-48.87,-27.45
"Vriesea_flammea",-48.7803,-26.9997
"Vriesea_flammea",-48.5142,-27.531
"Vriesea_flammea",-48.8703,-28.1694
"Vriesea_flammea",-40.3369,-14.6111
"Vriesea_flammea",-39.33,-15.16
"Vriesea_flammea",-49.9453,-29.0453
"Vriesea_flammea",-39.53,-14.76
"Vriesea_flammea",-49.317911,-28.30578
"Vriesea_flammea",-39.565278,-15.391667
"Vriesea_flammea",-48.316041,-25.521936
"Vriesea_flammea",-39.6,-14.7
"Vriesea_flammea",-48.336076,-25.509754
"Vriesea_flammea",-49.43255,-28.690547
"Vriesea_flammea",-48.8697,-27.0056
"Vriesea_flammea",-48.7619,-27.8789
"Vriesea_flammea",-48.29724,-25.179626
"Vriesea_flammea",-49.8592,-28.9794
"Vriesea_flammea",-48.600791,-26.176814
"Vriesea_flammea",-50.0744,-29.205
"Vriesea_flammea",-48.296759,-25.548026
"Vriesea_flammea",-49.3804,-26.3197
"Vriesea_flammea",-48.4925,-27.7753
