"sp","lon","lat"
"Vriesea_friburgensis",-41.433333,-12.466667
"Vriesea_friburgensis",-50.038056,-27.092222
"Vriesea_friburgensis",-46.7431,-23.9853
"Vriesea_friburgensis",-49.519503,-25.598863
"Vriesea_friburgensis",-46.369861,-21.962917
"Vriesea_friburgensis",-41.8114,-13.5789
"Vriesea_friburgensis",-46.7744,-23.9
"Vriesea_friburgensis",-50.913333,-24.199167
"Vriesea_friburgensis",-53.96667,-26.46667
"Vriesea_friburgensis",-41.883333,-13.033333
"Vriesea_friburgensis",-49.46479,-25.684961
"Vriesea_friburgensis",-49.305147,-25.417946
"Vriesea_friburgensis",-53.904,-29.643417
"Vriesea_friburgensis",-48.870019,-28.080011
"Vriesea_friburgensis",-44.858333,-23.35
