"sp","lon","lat"
"Vriesea_incurvata",-48.988824,-25.718658
"Vriesea_incurvata",-49.351667,-26.313056
"Vriesea_incurvata",-48.78,-27.36
"Vriesea_incurvata",-43.03333,-22.58333
"Vriesea_incurvata",-49.68,-27.18
"Vriesea_incurvata",-49.048889,-27.989167
"Vriesea_incurvata",-48.869731,-28.164742
"Vriesea_incurvata",-45.0711,-23.4339
"Vriesea_incurvata",-49.332778,-28.710833
"Vriesea_incurvata",-49.500278,-26.910278
"Vriesea_incurvata",-46.633333,-23.420833
"Vriesea_incurvata",-49.154444,-26.3
"Vriesea_incurvata",-48.978611,-25.95
"Vriesea_incurvata",-48.689444,-27.540278
"Vriesea_incurvata",-49.14,-27.000278
"Vriesea_incurvata",-49.213889,-28.188333
"Vriesea_incurvata",-49.72,-25.77
"Vriesea_incurvata",-48.870278,-28.169444
"Vriesea_incurvata",-44.858333,-23.358333
"Vriesea_incurvata",-42.5311,-22.2819
"Vriesea_incurvata",-49.050556,-26.550278
"Vriesea_incurvata",-47.9155556,-24.8263889
"Vriesea_incurvata",-48.336076,-25.509754
"Vriesea_incurvata",-48.7,-26.6833
"Vriesea_incurvata",-49.432728,-28.690128
"Vriesea_incurvata",-49.497222,-28.529167
"Vriesea_incurvata",-47.090278,-23.975556
