"sp","lon","lat"
"Vriesea_rodigasiana",-47.936111,-24.168333
"Vriesea_rodigasiana",-47.929167,-25.077222
"Vriesea_rodigasiana",-48.0425,-25.2147
"Vriesea_rodigasiana",-49.2308,-27.09
"Vriesea_rodigasiana",-48.600791,-26.176814
"Vriesea_rodigasiana",-48.1091,-24.5547
"Vriesea_rodigasiana",-46.9222,-24.2308
"Vriesea_rodigasiana",-48.1419,-25.0775
"Vriesea_rodigasiana",-39.266667,-14.416667
"Vriesea_rodigasiana",-48.7,-25.8833
"Vriesea_rodigasiana",-48.4043,-24.6362
"Vriesea_rodigasiana",-42.76679306,-22.43348389
"Vriesea_rodigasiana",-47.2511,-24.0775
"Vriesea_rodigasiana",-47.108333,-24.428333
"Vriesea_rodigasiana",-49.41,-27
"Vriesea_rodigasiana",-48.29724,-25.179626
"Vriesea_rodigasiana",-48.166389,-24.934722
"Vriesea_rodigasiana",-49.1181,-27.0069
"Vriesea_rodigasiana",-48.6906,-27
"Vriesea_rodigasiana",-48.7272,-26.055
"Vriesea_rodigasiana",-40.1544,-14.4039
"Vriesea_rodigasiana",-49.1394,-27.0969
"Vriesea_rodigasiana",-48.5408333,-25.7855555
"Vriesea_rodigasiana",-49.6852778,-26.7022222
"Vriesea_rodigasiana",-48.69,-27.81
"Vriesea_rodigasiana",-48.4786,-27.584
"Vriesea_rodigasiana",-50.003633,-29.623934
"Vriesea_rodigasiana",-48.8714,-27.7189
"Vriesea_rodigasiana",-49.14,-27.27
"Vriesea_rodigasiana",-48.083333,-24.233333
"Vriesea_rodigasiana",-48.9433,-26.8042
"Vriesea_rodigasiana",-49.4131,-28.5264
"Vriesea_rodigasiana",-49.2314,-27.1814
"Vriesea_rodigasiana",-48.87,-27.63
"Vriesea_rodigasiana",-44.858333,-23.35
"Vriesea_rodigasiana",-47.8825,-24.6083
"Vriesea_rodigasiana",-49.083333,-27.048333
"Vriesea_rodigasiana",-39.33,-15.16
"Vriesea_rodigasiana",-47.3445,-24.0316
"Vriesea_rodigasiana",-48.87,-28.08
"Vriesea_rodigasiana",-48.89111,-27.47583
"Vriesea_rodigasiana",-46.32,-23.78
"Vriesea_rodigasiana",-48.87,-27.45
"Vriesea_rodigasiana",-39.6,-14.7
"Vriesea_rodigasiana",-49.0494,-26.8553
"Vriesea_rodigasiana",-48.78,-27.72
"Vriesea_rodigasiana",-49.4972,-28.5292
"Vriesea_rodigasiana",-48.5558,-25.5917
"Vriesea_rodigasiana",-49.6167,-29.1139
"Vriesea_rodigasiana",-49.1711,-27.0111
"Vriesea_rodigasiana",-48.8703,-27.5394
"Vriesea_rodigasiana",-48.8714,-27.1847
"Vriesea_rodigasiana",-43.03333,-22.58333
"Vriesea_rodigasiana",-49.1758,-26.5522
"Vriesea_rodigasiana",-49.23,-27.27
"Vriesea_rodigasiana",-49.32,-27.09
