"lon","lat"
-48.1091,-24.5547
-39.565278,-15.391667
-49.0494,-27.6303
-50.003633,-29.623934
-48.166389,-24.934722
-48.69,-27.81
-46.9222,-24.2308
-42.76679306,-22.43348389
-48.7272,-26.055
-48.9433,-26.8042
-48.5147,-27.531
-49.41,-27
-44.6441666,-23.0344444
-49.6167,-29.1139
-48.8703,-27.5394
-48.0425,-25.2147
-48.8714,-27.7189
-48.5408333,-25.7855555
-43.8833333,-21.7166667
-39.33,-15.16
-49.4131,-28.5264
-48.87,-28.08
-43.03333,-22.58333
-47.3807,-24.0375
-47.8825,-24.6083
-49.6852778,-26.7022222
-49.2308,-27.09
-48.981299,-25.497056
