"sp","lon","lat"
"Vriesea_rodigasiana",-48.0425,-25.2147
"Vriesea_rodigasiana",-47.929167,-25.077222
"Vriesea_rodigasiana",-48.1091,-24.5547
"Vriesea_rodigasiana",-48.29724,-25.179626
"Vriesea_rodigasiana",-39.6,-14.7
"Vriesea_rodigasiana",-48.87,-27.45
"Vriesea_rodigasiana",-50.003633,-29.623934
"Vriesea_rodigasiana",-48.5558,-25.5917
"Vriesea_rodigasiana",-49.2314,-27.1814
"Vriesea_rodigasiana",-49.6852778,-26.7022222
"Vriesea_rodigasiana",-49.0497,-27.54
"Vriesea_rodigasiana",-43.03333,-22.58333
"Vriesea_rodigasiana",-47.108333,-24.428333
"Vriesea_rodigasiana",-48.7558,-27.8933
"Vriesea_rodigasiana",-48.316041,-25.521936
"Vriesea_rodigasiana",-47.3445,-24.0316
"Vriesea_rodigasiana",-47.3807,-24.0375
"Vriesea_rodigasiana",-48.8714,-27.1847
"Vriesea_rodigasiana",-49.6167,-29.1139
"Vriesea_rodigasiana",-42.76679306,-22.43348389
"Vriesea_rodigasiana",-49.083333,-27.048333
"Vriesea_rodigasiana",-39.266667,-14.416667
"Vriesea_rodigasiana",-48.87,-28.08
"Vriesea_rodigasiana",-46.9222,-24.2308
"Vriesea_rodigasiana",-48.336076,-25.509754
"Vriesea_rodigasiana",-39.565278,-15.391667
"Vriesea_rodigasiana",-48.7,-25.8833
"Vriesea_rodigasiana",-48.96,-27.54
"Vriesea_rodigasiana",-48.78,-27.72
"Vriesea_rodigasiana",-49.4972,-28.5292
"Vriesea_rodigasiana",-47.936111,-24.168333
"Vriesea_rodigasiana",-47.858333,-24.879444
"Vriesea_rodigasiana",-48.083333,-24.233333
"Vriesea_rodigasiana",-48.297089,-25.546148
"Vriesea_rodigasiana",-40.1544,-14.4039
"Vriesea_rodigasiana",-49.14,-27.27
"Vriesea_rodigasiana",-48.89111,-27.47583
"Vriesea_rodigasiana",-48.4043,-24.6362
"Vriesea_rodigasiana",-48.920598,-25.440958
"Vriesea_rodigasiana",-49.1394,-27.0969
"Vriesea_rodigasiana",-44.5167,-23.0167
"Vriesea_rodigasiana",-48.4786,-27.584
"Vriesea_rodigasiana",-48.0442,-24.1408
"Vriesea_rodigasiana",-49.41,-27
"Vriesea_rodigasiana",-49.1181,-27.0069
"Vriesea_rodigasiana",-48.8703,-27.5394
"Vriesea_rodigasiana",-48.5408333,-25.7855555
"Vriesea_rodigasiana",-48.78,-26.07
"Vriesea_rodigasiana",-48.6906,-27
"Vriesea_rodigasiana",-49.1058,-27.0692
"Vriesea_rodigasiana",-48.981299,-25.497056
"Vriesea_rodigasiana",-49.32,-27.09
"Vriesea_rodigasiana",-49.23,-27.27
"Vriesea_rodigasiana",-49.0494,-26.8553
"Vriesea_rodigasiana",-48.600791,-26.176814
"Vriesea_rodigasiana",-46.32,-23.78
"Vriesea_rodigasiana",-44.6441666,-23.0344444
"Vriesea_rodigasiana",-49.1711,-27.0111
"Vriesea_rodigasiana",-49.0494,-27.6303
"Vriesea_rodigasiana",-43.8833333,-21.7166667
"Vriesea_rodigasiana",-48.800209,-25.378213
"Vriesea_rodigasiana",-49.1758,-26.5522
"Vriesea_rodigasiana",-43.01333333,-22.45083333
"Vriesea_rodigasiana",-39.54,-14.77
"Vriesea_rodigasiana",-49.2308,-27.09
"Vriesea_rodigasiana",-47.2511,-24.0775
"Vriesea_rodigasiana",-39.33,-15.16
"Vriesea_rodigasiana",-39.60305556,-16.99055556
"Vriesea_rodigasiana",-48.87,-27.63
"Vriesea_rodigasiana",-48.8714,-27.7189
"Vriesea_rodigasiana",-48.5147,-27.531
"Vriesea_rodigasiana",-47.8825,-24.6083
"Vriesea_rodigasiana",-49.05,-27.45
"Vriesea_rodigasiana",-48.1419,-25.0775
"Vriesea_rodigasiana",-48.69,-27.81
"Vriesea_rodigasiana",-47.285297,-23.825694
"Vriesea_rodigasiana",-44.831273,-23.365477
"Vriesea_rodigasiana",-44.858333,-23.35
"Vriesea_rodigasiana",-48.7272,-26.055
"Vriesea_rodigasiana",-48.166389,-24.934722
"Vriesea_rodigasiana",-48.6475,-24.4588889
"Vriesea_rodigasiana",-48.9433,-26.8042
"Vriesea_rodigasiana",-49.4131,-28.5264
"Vriesea_rodigasiana",-48.3862,-25.1779
