"sp","lon","lat"
"Vriesea_vagans",-48.391944,-24.646389
"Vriesea_vagans",-41.471835,-20.363726
"Vriesea_vagans",-48.806944,-26.305278
"Vriesea_vagans",-50.129167,-26.908611
"Vriesea_vagans",-49.49722,-28.52917
"Vriesea_vagans",-49.048333,-28.001111
"Vriesea_vagans",-48.600791,-26.176814
"Vriesea_vagans",-42.516667,-22.416667
"Vriesea_vagans",-40.553056,-19.9075
"Vriesea_vagans",-40.530278,-19.971389
"Vriesea_vagans",-40.510556,-19.823611
"Vriesea_vagans",-48.29724,-25.179626
"Vriesea_vagans",-48.920598,-25.440958
