"lon","lat"
-49.139353,-27.097017
-48.920598,-25.440958
-47.966667,-24.133333
-48.806944,-26.305278
-50.217728,-27.182475
-49.23,-27.27
-48.761964,-27.878889
-48.871389,-27.718889
-48.727225,-26.055025
-39.565278,-15.391667
-44.141667,-23.15
-49.585,-26.7275
-49.048333,-28.001111
-49.497783,-26.909747
-48.870019,-28.080011
-46.7402,-23.9868
-41.471835,-20.363726
-40.530278,-19.971389
-50.003633,-29.623934
-50.129167,-26.908611
-48.696111,-27.734722
-49.410014,-28.170006
-48.871111,-26.819722
-48.447222,-24.274167
-48.600791,-26.176814
-48.66,-26.91
-49.378611,-26.250556
-49.235589,-26.365003
-48.601947,-27.149461
-45.866667,-23.633333
-48.688889,-26.5525
-47.108333,-24.428333
-49.59,-28.62
