"species","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","AUCratio","pROC","pval_pROC","TSS","algoritmo","run","partition","presencenb","absencenb","correlation","pvaluecor","threshold","prevalence.value","PPP","NPP","sensitivity.value","specificity.value","comission","omission","accuracy","KAPPA.value"
"Acianthera_sonderiana_C_010",-1e-04,-1e-04,-1e-04,-1e-04,0.4999,0.4999,0.455,0.91,NA,NA,0,"bioclim",1,1,2,200,-0.0312771621085612,0.658574991987827,"spec_sens",0.0099009900990099,0.0099009900990099,NA,0.5,NA,NA,0.5,0.5,0
"Acianthera_sonderiana_C_010",0.00487512,0.00487512,0.00497512,0.00507512,0.00487512,0.00507512,0.5,1,NA,NA,0,"glm",1,1,2,200,NA,NA,"spec_sens",0.0099009900990099,NA,0.99009900990099,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_010",0.91440447,0.91440447,0.51137115,0.05302514,0.52395339,0.51349934,0.73,1.46,1.52051470041015,0,0.5,"maxent",1,1,2,200,0.105698032453927,0.134360593011113,"spec_sens",0.0099009900990099,1,0.995024875621891,1,0.666666666666667,0.333333333333333,0,0.75,0.664451827242526
"Acianthera_sonderiana_C_010",0.44226667,0.44226667,0.44226667,0.32516667,0.44973333,0.44526667,0.2175,0.435,1.38545894033324,0,0.215,"rf",1,1,2,200,-0.0704336062642915,0.31921372641282,"spec_sens",0.0099009900990099,0.0125786163522013,1,0.560224089635854,1,0,0.439775910364146,0.6075,0.00539421689769808
"Acianthera_sonderiana_C_010",0.00425419,0.00425419,0.00425419,0.00815727,0.00427076,0.00427076,0.6275,1.255,1.9405886175452,0,0.62,"svmk",1,1,2,200,0.0309022648245701,0.662414239786858,"spec_sens",0.0099009900990099,0.0256410256410256,1,0.72463768115942,1,0,0.27536231884058,0.81,0.0312973245835436
"Acianthera_sonderiana_C_010",-1e-04,-1e-04,-1e-04,-1e-04,0.4999,0.4999,0.455,0.91,NA,NA,0,"bioclim",2,1,2,200,-0.0312771621085612,0.658574991987827,"spec_sens",0.0099009900990099,0.0099009900990099,NA,0.5,NA,NA,0.5,0.5,0
"Acianthera_sonderiana_C_010",0.00434282,0.00093971,0.00094329,0.00995012,0.00200327,0.00101374,0.5175,1.035,1.42214804838248,0,0.29,"glm",2,1,2,200,-0.0297141161924413,0.674639719258791,"spec_sens",0.0099009900990099,NA,0.99009900990099,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_010",0.67088343,0.67088343,0.41361411,0.11380306,0.48909067,0.41664805,0.535,1.07,1.50428967554592,0,0.285,"maxent",2,1,2,200,0.0111183237334026,0.875209166268779,"spec_sens",0.0099009900990099,0.0227272727272727,0.993670886075949,0.699300699300699,0.610894941634241,0.389105058365759,0.300699300699301,0.6425,0.0250109697235628
"Acianthera_sonderiana_C_010",0.66376667,0.41566667,0.41566667,0.10746667,0.46876667,0.41736667,0.5675,1.135,1.63191402313666,0,0.33,"rf",2,1,2,200,0.036922806340625,0.601884108718946,"spec_sens",0.0099009900990099,0.0147058823529412,1,0.598802395209581,1,0,0.401197604790419,0.665,0.00965900775647593
"Acianthera_sonderiana_C_010",0.00435084,0.00354524,0.00354524,0.01109427,0.00358992,0.00358992,0.7625,1.525,1.46165484152428,0,0.67,"svmk",2,1,2,200,0.0662228086397592,0.349072227257556,"spec_sens",0.0099009900990099,0.0294117647058824,1,0.75187969924812,1,0,0.24812030075188,0.835,0.0386501297952121
