"species","algoritmo","AUC","TSS","pROC","omission"
"Acianthera_sonderiana_C_010","bioclim",0.5184375,0.0975,1.98866757702752,0.420081967213115
"Acianthera_sonderiana_C_020","bioclim",0.61625,0.24375,1.95724321930949,0.378304494460155
"Acianthera_sonderiana_C_050","bioclim",0.726979166666667,0.425416666666667,1.97538124277439,0.149310231574031
"Acianthera_sonderiana_C_100","bioclim",0.75735576923077,0.462115384615385,1.92398163625426,0.211760972792686
"Acianthera_sonderiana_N_010","bioclim",0.6640625,0.34125,1.98116306905976,0.221848466897972
"Acianthera_sonderiana_N_020","bioclim",0.74375,0.518333333333333,1.99218647446966,0.103300659004054
"Acianthera_sonderiana_N_050","bioclim",0.7065625,0.498333333333333,1.97313943109053,0.19735954707964
"Acianthera_sonderiana_N_100","bioclim",0.742788461538461,0.400096153846154,1.91750111074878,0.277568721126398
"Aechmea_distichantha_C_010","bioclim",0.723125,0.484166666666667,1.97913074787628,0.226867230169382
"Aechmea_distichantha_C_020","bioclim",0.699625,0.425,1.82818184731834,0.229593350969585
"Aechmea_distichantha_C_050","bioclim",0.750288461538462,0.497403846153846,1.71930743430289,0.290268495785814
"Aechmea_distichantha_C_100","bioclim",0.760048076923077,0.467596153846154,1.70610087089172,0.285409260553733
"Aechmea_distichantha_N_010","bioclim",0.535,0.20375,1.97733655518799,0.229085858917888
"Aechmea_distichantha_N_020","bioclim",0.682375,0.3825,1.91331106535022,0.300594628182495
"Aechmea_distichantha_N_050","bioclim",0.717692307692308,0.437596153846154,1.7090636381746,0.240509337365095
"Aechmea_distichantha_N_100","bioclim",0.785985576923077,0.516923076923077,1.61942910189999,0.270532771653446
"Aechmea_lamarchei_C_010","bioclim",0.3775,0,NA,0.5
"Aechmea_lamarchei_C_020","bioclim",0.540416666666667,0.17,1.97219052449169,0.378821661159411
"Aechmea_lamarchei_C_050","bioclim",0.726979166666667,0.5175,1.89643087631973,0.145631155854568
"Aechmea_lamarchei_C_100","bioclim",0.723020833333333,0.4675,1.80913075027668,0.194997041266338
"Aechmea_lamarchei_N_010","bioclim",0.774375,0.5925,1.91575557214,0.255116154345556
"Aechmea_lamarchei_N_020","bioclim",0.580416666666667,0.262916666666667,1.95373757582542,0.306627162698681
"Aechmea_lamarchei_N_050","bioclim",0.658645833333333,0.329166666666667,1.94228706669055,0.313520641003277
"Aechmea_lamarchei_N_100","bioclim",0.778072916666667,0.487916666666666,1.76539594571898,0.250739390246149
"Aechmea_nudicaulis_C_010","bioclim",0.65765625,0.33875,1.85135767111623,0.300560778711557
"Aechmea_nudicaulis_C_020","bioclim",0.854642857142857,0.702321428571429,1.89519052679249,0.188619879965476
"Aechmea_nudicaulis_C_050","bioclim",0.77453125,0.519375,1.76525543154724,0.280908292489214
"Aechmea_nudicaulis_C_100","bioclim",0.806799242424243,0.506212121212122,1.66899640235487,0.292652536571699
"Aechmea_nudicaulis_N_010","bioclim",0.6584375,0.3325,1.83393729660228,0.372518234013475
"Aechmea_nudicaulis_N_020","bioclim",0.769910714285714,0.524107142857143,1.87940231101864,0.301032896283852
"Aechmea_nudicaulis_N_050","bioclim",0.750588235294118,0.4525,1.74170389425113,0.285691481287797
"Aechmea_nudicaulis_N_100","bioclim",0.738693181818182,0.413674242424242,1.66518850818114,0.302161398332048
"Billbergia_amoena_C_010","bioclim",0.563125,0.178333333333333,1.94223220448923,0.368225591999925
"Billbergia_amoena_C_020","bioclim",0.71453125,0.36625,1.91203402571897,0.239975699786957
"Billbergia_amoena_C_050","bioclim",0.6804375,0.3825,1.83330913618665,0.329194777757823
"Billbergia_amoena_C_100","bioclim",0.6695625,0.3575,1.77477004267765,0.370857561045535
"Billbergia_amoena_N_010","bioclim",0.63625,0.29,1.85443371045343,0.323327452004253
"Billbergia_amoena_N_020","bioclim",0.7328125,0.48125,1.90526959181756,0.299655604934216
"Billbergia_amoena_N_050","bioclim",0.6761875,0.36875,1.85749370520915,0.361039448437699
"Billbergia_amoena_N_100","bioclim",0.6981875,0.40375,1.8184495682228,0.347521307237468
"Billbergia_distachia_C_010","bioclim",0.476875,0.12625,1.95691756693681,0.393095874713522
"Billbergia_distachia_C_020","bioclim",0.55859375,0.14,1.95930211882317,0.375440917107584
"Billbergia_distachia_C_050","bioclim",0.65125,0.37,1.86536271361612,0.29766754323859
"Billbergia_distachia_C_100","bioclim",0.743839285714286,0.43375,1.8760571121585,0.286787738406007
"Billbergia_distachia_N_010","bioclim",0.428125,0.13625,1.93398417312309,0.453178694158075
"Billbergia_distachia_N_020","bioclim",0.44765625,0.1175,1.96186573640405,0.31187343358396
"Billbergia_distachia_N_050","bioclim",0.7174375,0.415,1.90372712710733,0.292800157461263
