"sp","algo","M1","M2","good","bad","total","mod"
"Acianthera_sonderiana_C_010","bioclim",0.116,0.202797202797203,116,572,1000,"raw_mean"
"Acianthera_sonderiana_C_010","glm",0.04,0.173160173160173,40,231,1000,"raw_mean"
"Acianthera_sonderiana_C_010","maxent",0.091,0.67910447761194,91,134,1000,"raw_mean"
"Acianthera_sonderiana_C_010","rf",0.175,1.5625,175,112,1000,"raw_mean"
"Acianthera_sonderiana_C_010","svmk",0.036,0.166666666666667,36,216,1000,"raw_mean"
"Acianthera_sonderiana_C_020","bioclim",0.113,0.179650238473768,113,629,1000,"raw_mean"
"Acianthera_sonderiana_C_020","glm",0.171,0.966101694915254,171,177,1000,"raw_mean"
"Acianthera_sonderiana_C_020","maxent",0.226,1.83739837398374,226,123,1000,"raw_mean"
"Acianthera_sonderiana_C_020","rf",0.232,5.52380952380952,232,42,1000,"raw_mean"
"Acianthera_sonderiana_C_020","svmk",0.178,1.56140350877193,178,114,1000,"raw_mean"
"Acianthera_sonderiana_C_050","bioclim",0.445,2.32984293193717,445,191,1000,"raw_mean"
"Acianthera_sonderiana_C_050","glm",0.217,1.06896551724138,217,203,1000,"raw_mean"
"Acianthera_sonderiana_C_050","maxent",0.234,1.22513089005236,234,191,1000,"raw_mean"
"Acianthera_sonderiana_C_050","rf",0.183,1.63392857142857,183,112,1000,"raw_mean"
"Acianthera_sonderiana_C_050","svmk",0.186,0.973821989528796,186,191,1000,"raw_mean"
"Acianthera_sonderiana_C_100","bioclim",0.018,0.135338345864662,18,133,1000,"raw_mean"
"Acianthera_sonderiana_C_100","glm",0.201,1.02030456852792,201,197,1000,"raw_mean"
"Acianthera_sonderiana_C_100","maxent",0.222,1.17460317460317,222,189,1000,"raw_mean"
"Acianthera_sonderiana_C_100","rf",0.184,1.35294117647059,184,136,1000,"raw_mean"
"Acianthera_sonderiana_C_100","svmk",0.168,1.42372881355932,168,118,1000,"raw_mean"
"Acianthera_sonderiana_N_010","bioclim",0.515,1.07740585774059,515,478,1000,"raw_mean"
"Acianthera_sonderiana_N_010","glm",0.206,0.944954128440367,206,218,1000,"raw_mean"
"Acianthera_sonderiana_N_010","maxent",0.111,0.444,111,250,1000,"raw_mean"
"Acianthera_sonderiana_N_010","rf",0.142,0.788888888888889,142,180,1000,"raw_mean"
"Acianthera_sonderiana_N_010","svmk",0.149,1.31858407079646,149,113,1000,"raw_mean"
"Acianthera_sonderiana_N_020","bioclim",0.015,0.0207182320441989,15,724,1000,"raw_mean"
"Acianthera_sonderiana_N_020","glm",0.214,0.981651376146789,214,218,1000,"raw_mean"
"Acianthera_sonderiana_N_020","maxent",0.213,2.15151515151515,213,99,1000,"raw_mean"
"Acianthera_sonderiana_N_020","rf",0.134,1.16521739130435,134,115,1000,"raw_mean"
"Acianthera_sonderiana_N_020","svmk",0.155,1.02649006622517,155,151,1000,"raw_mean"
"Acianthera_sonderiana_N_050","bioclim",0.313,0.845945945945946,313,370,1000,"raw_mean"
"Acianthera_sonderiana_N_050","glm",0.195,1.07142857142857,195,182,1000,"raw_mean"
"Acianthera_sonderiana_N_050","maxent",0.221,1.50340136054422,221,147,1000,"raw_mean"
"Acianthera_sonderiana_N_050","rf",0.199,2.23595505617978,199,89,1000,"raw_mean"
"Acianthera_sonderiana_N_050","svmk",0.139,0.798850574712644,139,174,1000,"raw_mean"
"Acianthera_sonderiana_N_100","bioclim",0.193,0.901869158878505,193,214,1000,"raw_mean"
"Acianthera_sonderiana_N_100","glm",0.214,1.10880829015544,214,193,1000,"raw_mean"
"Acianthera_sonderiana_N_100","maxent",0.236,1.43030303030303,236,165,1000,"raw_mean"
"Acianthera_sonderiana_N_100","rf",0.188,1.55371900826446,188,121,1000,"raw_mean"
"Acianthera_sonderiana_N_100","svmk",0.157,0.912790697674419,157,172,1000,"raw_mean"
"Aechmea_distichantha_C_010","bioclim",0.466,1.60137457044674,466,291,1000,"raw_mean"
"Aechmea_distichantha_C_010","glm",0.164,0.656,164,250,1000,"raw_mean"
"Aechmea_distichantha_C_010","maxent",0.212,2.98591549295775,212,71,1000,"raw_mean"
"Aechmea_distichantha_C_010","rf",0.145,1.57608695652174,145,92,1000,"raw_mean"
"Aechmea_distichantha_C_010","svmk",0.145,1.06617647058824,145,136,1000,"raw_mean"
"Aechmea_distichantha_C_020","bioclim",0.14,0.226537216828479,140,618,1000,"raw_mean"
"Aechmea_distichantha_C_020","glm",0.186,0.944162436548223,186,197,1000,"raw_mean"
"Aechmea_distichantha_C_020","maxent",0.149,1.1037037037037,149,135,1000,"raw_mean"
"Aechmea_distichantha_C_020","rf",0.177,1.59459459459459,177,111,1000,"raw_mean"
"Aechmea_distichantha_C_020","svmk",0.103,0.512437810945274,103,201,1000,"raw_mean"
"Aechmea_distichantha_C_050","bioclim",0.232,0.950819672131147,232,244,1000,"raw_mean"
"Aechmea_distichantha_C_050","glm",0.192,1.13609467455621,192,169,1000,"raw_mean"
"Aechmea_distichantha_C_050","maxent",0.217,1.41830065359477,217,153,1000,"raw_mean"
"Aechmea_distichantha_C_050","rf",0.182,2.16666666666667,182,84,1000,"raw_mean"
"Aechmea_distichantha_C_050","svmk",0.122,0.792207792207792,122,154,1000,"raw_mean"
"Aechmea_distichantha_C_100","bioclim",0.288,1.73493975903614,288,166,1000,"raw_mean"
"Aechmea_distichantha_C_100","glm",0.176,1.13548387096774,176,155,1000,"raw_mean"
"Aechmea_distichantha_C_100","maxent",0.213,1.7603305785124,213,121,1000,"raw_mean"
