"treatment","genus","epithet","clump","size","treatment1","algorithm","AUC","TSS","pROC","omission","M1","M2","good","bad","total","mod","M3"
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","bioclim",0.5184375,0.0975,1.98866757702752,0.420081967213115,0.116,0.202797202797203,116,572,1000,"raw_mean",0.168604651162791
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","glm",0.593125,0.28,1.47229950365858,NA,0.04,0.173160173160173,40,231,1000,"raw_mean",0.14760147601476
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","maxent",0.595625,0.38625,1.54068343853059,0.171528991841492,0.091,0.67910447761194,91,134,1000,"raw_mean",0.404444444444444
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","rf",0.4353125,0.3,1.46628886265028,0.330514412103153,0.175,1.5625,175,112,1000,"raw_mean",0.609756097560976
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","svmk",0.706875,0.62125,1.5796029859331,0.274109360636821,0.036,0.166666666666667,36,216,1000,"raw_mean",0.142857142857143
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","bioclim",0.61625,0.24375,1.95724321930949,0.378304494460155,0.113,0.179650238473768,113,629,1000,"raw_mean",0.152291105121294
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","glm",0.655416666666667,0.5525,1.45291998925127,NA,0.171,0.966101694915254,171,177,1000,"raw_mean",0.491379310344828
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","maxent",0.657083333333333,0.54,1.47085632464775,0.222776276151263,0.226,1.83739837398374,226,123,1000,"raw_mean",0.64756446991404
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","rf",0.696875,0.551666666666667,1.56560323187585,0.261007753621561,0.232,5.52380952380952,232,42,1000,"raw_mean",0.846715328467153
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","svmk",0.780416666666667,0.610416666666667,1.75226764606523,0.225906960243795,0.178,1.56140350877193,178,114,1000,"raw_mean",0.60958904109589
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","bioclim",0.726979166666667,0.425416666666667,1.97538124277439,0.149310231574031,0.445,2.32984293193717,445,191,1000,"raw_mean",0.699685534591195
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","glm",0.749791666666667,0.573333333333333,1.49457846245806,NA,0.217,1.06896551724138,217,203,1000,"raw_mean",0.516666666666667
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","maxent",0.831041666666667,0.602916666666667,1.71313687701042,0.24991466539483,0.234,1.22513089005236,234,191,1000,"raw_mean",0.550588235294118
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","rf",0.795729166666667,0.594583333333333,1.55307219238552,0.267042447297045,0.183,1.63392857142857,183,112,1000,"raw_mean",0.620338983050847
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","svmk",0.76125,0.580416666666666,1.37865735084494,0.258487854344557,0.186,0.973821989528796,186,191,1000,"raw_mean",0.493368700265252
"Acianthera_sonderiana_C_100","Acianthera","sonderiana","C","100","Acianthera_sonderiana_C_100","bioclim",0.75735576923077,0.462115384615385,1.92398163625426,0.211760972792686,0.018,0.135338345864662,18,133,1000,"raw_mean",0.119205298013245
"Acianthera_sonderiana_C_100","Acianthera","sonderiana","C","100","Acianthera_sonderiana_C_100","glm",0.845576923076923,0.634326923076923,1.56882633927064,0,0.201,1.02030456852792,201,197,1000,"raw_mean",0.505025125628141
"Acianthera_sonderiana_C_100","Acianthera","sonderiana","C","100","Acianthera_sonderiana_C_100","maxent",0.90125,0.722596153846154,1.70501347220837,0.164895795105373,0.222,1.17460317460317,222,189,1000,"raw_mean",0.54014598540146
