"treatment","genus","epithet","clump","size","treatment1","algorithm","AUC","TSS","pROC","omission","M1","M2","good","bad","total","mod","M3"
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","bioclim",0.5184375,0.0975,1.98866757702752,0.420081967213115,0.118,0.207381370826011,118,569,1000,"raw_mean_cut",0.171761280931587
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","glm",0.593125,0.28,1.47229950365858,NA,0.169,0.764705882352941,169,221,1000,"raw_mean_cut",0.433333333333333
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","maxent",0.595625,0.38625,1.54068343853059,0.171528991841492,0.112,1.06666666666667,112,105,1000,"raw_mean_cut",0.516129032258065
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","rf",0.4353125,0.3,1.46628886265028,0.330514412103153,0.123,1.025,123,120,1000,"raw_mean_cut",0.506172839506173
"Acianthera_sonderiana_C_010","Acianthera","sonderiana","C","010","Acianthera_sonderiana_C_010","svmk",0.706875,0.62125,1.5796029859331,0.274109360636821,0.196,1.42028985507246,196,138,1000,"raw_mean_cut",0.586826347305389
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","bioclim",0.61625,0.24375,1.95724321930949,0.378304494460155,0.574,4.38167938931298,574,131,1000,"raw_mean_cut",0.814184397163121
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","glm",0.655416666666667,0.5525,1.45291998925127,NA,0.138,0.8625,138,160,1000,"raw_mean_cut",0.463087248322148
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","maxent",0.657083333333333,0.54,1.47085632464775,0.222776276151263,0.028,0.132075471698113,28,212,1000,"raw_mean_cut",0.116666666666667
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","rf",0.696875,0.551666666666667,1.56560323187585,0.261007753621561,0.131,0.856209150326797,131,153,1000,"raw_mean_cut",0.461267605633803
"Acianthera_sonderiana_C_020","Acianthera","sonderiana","C","020","Acianthera_sonderiana_C_020","svmk",0.780416666666667,0.610416666666667,1.75226764606523,0.225906960243795,0.187,1.4609375,187,128,1000,"raw_mean_cut",0.593650793650794
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","bioclim",0.726979166666667,0.425416666666667,1.97538124277439,0.149310231574031,0.181,0.665441176470588,181,272,1000,"raw_mean_cut",0.399558498896247
"Acianthera_sonderiana_C_050","Acianthera","sonderiana","C","050","Acianthera_sonderiana_C_050","glm",0.749791666666667,0.573333333333333,1.49457846245806,NA,0.126,0.79746835443038,126,158,1000,"raw_mean_cut",0.443661971830986
