"file","trat","sp","clump","sample.size","partition","algo","full.file"
"bioclim_cont_Acianthera_sonderiana_C_010_1_1.tif","Acianthera_sonderiana_C_010","Acianthera_sonderiana","C","010","1","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/bioclim_cont_Acianthera_sonderiana_C_010_1_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_010_2_1.tif","Acianthera_sonderiana_C_010","Acianthera_sonderiana","C","010","2","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/bioclim_cont_Acianthera_sonderiana_C_010_2_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_010_3_1.tif","Acianthera_sonderiana_C_010","Acianthera_sonderiana","C","010","3","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/bioclim_cont_Acianthera_sonderiana_C_010_3_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_010_4_1.tif","Acianthera_sonderiana_C_010","Acianthera_sonderiana","C","010","4","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/bioclim_cont_Acianthera_sonderiana_C_010_4_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_020_1_1.tif","Acianthera_sonderiana_C_020","Acianthera_sonderiana","C","020","1","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/glm_cont_Acianthera_sonderiana_C_010_1_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_020_2_1.tif","Acianthera_sonderiana_C_020","Acianthera_sonderiana","C","020","2","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/glm_cont_Acianthera_sonderiana_C_010_2_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_020_3_1.tif","Acianthera_sonderiana_C_020","Acianthera_sonderiana","C","020","3","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/glm_cont_Acianthera_sonderiana_C_010_3_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_020_4_1.tif","Acianthera_sonderiana_C_020","Acianthera_sonderiana","C","020","4","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/glm_cont_Acianthera_sonderiana_C_010_4_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_050_1_1.tif","Acianthera_sonderiana_C_050","Acianthera_sonderiana","C","050","1","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/maxent_cont_Acianthera_sonderiana_C_010_1_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_050_2_1.tif","Acianthera_sonderiana_C_050","Acianthera_sonderiana","C","050","2","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/maxent_cont_Acianthera_sonderiana_C_010_2_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_050_3_1.tif","Acianthera_sonderiana_C_050","Acianthera_sonderiana","C","050","3","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/maxent_cont_Acianthera_sonderiana_C_010_3_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_050_4_1.tif","Acianthera_sonderiana_C_050","Acianthera_sonderiana","C","050","4","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/maxent_cont_Acianthera_sonderiana_C_010_4_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_100_1_1.tif","Acianthera_sonderiana_C_100","Acianthera_sonderiana","C","100","1","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/rf_cont_Acianthera_sonderiana_C_010_1_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_100_2_1.tif","Acianthera_sonderiana_C_100","Acianthera_sonderiana","C","100","2","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/rf_cont_Acianthera_sonderiana_C_010_2_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_100_3_1.tif","Acianthera_sonderiana_C_100","Acianthera_sonderiana","C","100","3","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/rf_cont_Acianthera_sonderiana_C_010_3_1.tif"
"bioclim_cont_Acianthera_sonderiana_C_100_4_1.tif","Acianthera_sonderiana_C_100","Acianthera_sonderiana","C","100","4","bioclim","models_low/Acianthera_sonderiana_C_010/present/partitions/rf_cont_Acianthera_sonderiana_C_010_4_1.tif"
